#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 01 12 00 00 1 4743.791
2022 05 01 11 45 00 1 4743.838
2022 05 01 11 30 00 1 4743.874
2022 05 01 11 15 00 1 4743.903
2022 05 01 11 00 00 1 4743.919
2022 05 01 10 45 00 1 4743.925
2022 05 01 10 30 00 1 4743.920
2022 05 01 10 15 00 1 4743.907
2022 05 01 10 00 00 1 4743.886
2022 05 01 09 45 00 1 4743.856
2022 05 01 09 30 00 1 4743.818
2022 05 01 09 15 00 1 4743.773
2022 05 01 09 00 00 1 4743.720
2022 05 01 08 45 00 1 4743.662
2022 05 01 08 30 00 1 4743.598
2022 05 01 08 15 00 1 4743.533
2022 05 01 08 00 00 1 4743.464
2022 05 01 07 45 00 1 4743.397
2022 05 01 07 30 00 1 4743.329
2022 05 01 07 15 00 1 4743.264
2022 05 01 07 00 00 1 4743.201
2022 05 01 06 45 00 1 4743.143
2022 05 01 06 30 00 1 4743.089
2022 05 01 06 15 00 1 4743.041
2022 05 01 06 00 00 1 4742.997
2022 05 01 05 45 00 1 4742.959
2022 05 01 05 30 00 1 4742.931
2022 05 01 05 15 00 1 4742.910
2022 05 01 05 00 00 1 4742.896
2022 05 01 04 45 00 1 4742.892
2022 05 01 04 30 00 1 4742.894
2022 05 01 04 15 00 1 4742.903
2022 05 01 04 00 00 1 4742.920
2022 05 01 03 45 00 1 4742.945
2022 05 01 03 30 00 1 4742.976
2022 05 01 03 15 00 1 4743.013
2022 05 01 03 00 00 1 4743.054
2022 05 01 02 45 00 1 4743.097
2022 05 01 02 30 00 1 4743.143
2022 05 01 02 15 00 1 4743.188
2022 05 01 02 00 00 1 4743.233
2022 05 01 01 45 00 1 4743.278
2022 05 01 01 30 00 1 4743.320
2022 05 01 01 15 00 1 4743.362
2022 05 01 01 00 00 1 4743.395
2022 05 01 00 45 00 1 4743.427
2022 05 01 00 30 00 1 4743.454
2022 05 01 00 15 00 1 4743.472
2022 05 01 00 00 00 1 4743.484
2022 04 30 23 45 00 1 4743.491
2022 04 30 23 30 00 1 4743.486
2022 04 30 23 15 00 1 4743.474
2022 04 30 23 00 00 1 4743.457
2022 04 30 22 45 00 1 4743.429
2022 04 30 22 30 00 1 4743.393
2022 04 30 22 15 00 1 4743.351
2022 04 30 22 00 00 1 4743.300
2022 04 30 21 45 00 1 4743.241
2022 04 30 21 30 00 1 4743.178
2022 04 30 21 15 00 1 4743.109
2022 04 30 21 00 00 1 4743.036
2022 04 30 20 45 00 1 4742.961
2022 04 30 20 30 00 1 4742.882
2022 04 30 20 15 00 1 4742.803
2022 04 30 20 00 00 1 4742.725
2022 04 30 19 45 00 1 4742.647
2022 04 30 19 30 00 1 4742.574
2022 04 30 19 15 00 1 4742.505
2022 04 30 19 00 00 1 4742.439
2022 04 30 18 45 00 1 4742.381
2022 04 30 18 30 00 1 4742.333
2022 04 30 18 15 00 1 4742.285
2022 04 30 18 00 00 1 4742.252
2022 04 30 17 45 00 1 4742.228
2022 04 30 17 30 00 1 4742.213
2022 04 30 17 15 00 1 4742.207
2022 04 30 17 00 00 1 4742.208
2022 04 30 16 45 00 1 4742.222
2022 04 30 16 30 00 1 4742.247
2022 04 30 16 15 00 1 4742.283
2022 04 30 16 00 00 1 4742.329
2022 04 30 15 45 00 1 4742.385
2022 04 30 15 30 00 1 4742.448
2022 04 30 15 15 00 1 4742.520
2022 04 30 15 00 00 1 4742.599
2022 04 30 14 45 00 1 4742.684
2022 04 30 14 30 00 1 4742.775
2022 04 30 14 15 00 1 4742.868
2022 04 30 14 00 00 1 4742.964
2022 04 30 13 45 00 1 4743.059
2022 04 30 13 30 00 1 4743.154
2022 04 30 13 15 00 1 4743.250
2022 04 30 13 00 00 1 4743.341
2022 04 30 12 45 00 1 4743.428
2022 04 30 12 30 00 1 4743.507
2022 04 30 12 15 00 1 4743.582
2022 04 30 12 00 00 1 4743.648
2022 04 30 11 45 00 1 4743.707
2022 04 30 11 30 00 1 4743.757
2022 04 30 11 15 00 1 4743.800
2022 04 30 11 00 00 1 4743.833
2022 04 30 10 45 00 1 4743.854
2022 04 30 10 30 00 1 4743.864
2022 04 30 10 15 00 1 4743.864
2022 04 30 10 00 00 1 4743.854
2022 04 30 09 45 00 1 4743.836
2022 04 30 09 30 00 1 4743.807
2022 04 30 09 15 00 1 4743.771
2022 04 30 09 00 00 1 4743.726
2022 04 30 08 45 00 1 4743.678
2022 04 30 08 30 00 1 4743.620
2022 04 30 08 15 00 1 4743.558
2022 04 30 08 00 00 1 4743.490
2022 04 30 07 45 00 1 4743.422
2022 04 30 07 30 00 1 4743.351
2022 04 30 07 15 00 1 4743.280
2022 04 30 07 00 00 1 4743.209
2022 04 30 06 45 00 1 4743.139
2022 04 30 06 30 00 1 4743.071
2022 04 30 06 15 00 1 4743.008
2022 04 30 06 00 00 1 4742.952
2022 04 30 05 45 00 1 4742.901
2022 04 30 05 30 00 1 4742.858
2022 04 30 05 15 00 1 4742.821
2022 04 30 05 00 00 1 4742.793
2022 04 30 04 45 00 1 4742.773
2022 04 30 04 30 00 1 4742.761
2022 04 30 04 15 00 1 4742.757
2022 04 30 04 00 00 1 4742.760
2022 04 30 03 45 00 1 4742.772
2022 04 30 03 30 00 1 4742.792
2022 04 30 03 15 00 1 4742.820
2022 04 30 03 00 00 1 4742.854
2022 04 30 02 45 00 1 4742.895
2022 04 30 02 30 00 1 4742.939
2022 04 30 02 15 00 1 4742.990
2022 04 30 02 00 00 1 4743.042
2022 04 30 01 45 00 1 4743.097
2022 04 30 01 30 00 1 4743.152
2022 04 30 01 15 00 1 4743.205
2022 04 30 01 00 00 1 4743.260
2022 04 30 00 45 00 1 4743.310
2022 04 30 00 30 00 1 4743.356
2022 04 30 00 15 00 1 4743.397
2022 04 30 00 00 00 1 4743.433
2022 04 29 23 45 00 1 4743.459
2022 04 29 23 30 00 1 4743.481
2022 04 29 23 15 00 1 4743.492
2022 04 29 23 00 00 1 4743.499
2022 04 29 22 45 00 1 4743.496
2022 04 29 22 30 00 1 4743.485
2022 04 29 22 15 00 1 4743.469
2022 04 29 22 00 00 1 4743.444
2022 04 29 21 45 00 1 4743.409
2022 04 29 21 30 00 1 4743.364
2022 04 29 21 15 00 1 4743.316
2022 04 29 21 00 00 1 4743.259
2022 04 29 20 45 00 1 4743.197
2022 04 29 20 30 00 1 4743.134
2022 04 29 20 15 00 1 4743.062
2022 04 29 20 00 00 1 4742.991
2022 04 29 19 45 00 1 4742.916
2022 04 29 19 30 00 1 4742.842
2022 04 29 19 15 00 1 4742.767
2022 04 29 19 00 00 1 4742.697
2022 04 29 18 45 00 1 4742.629
2022 04 29 18 30 00 1 4742.567
2022 04 29 18 15 00 1 4742.511
2022 04 29 18 00 00 1 4742.457
2022 04 29 17 45 00 1 4742.412
