#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 03 13 00 00 1 4951.293
2022 05 03 12 45 00 1 4951.280
2022 05 03 12 30 00 1 4951.275
2022 05 03 12 15 00 1 4951.279
2022 05 03 12 00 00 1 4951.288
2022 05 03 11 45 00 1 4951.303
2022 05 03 11 30 00 1 4951.329
2022 05 03 11 15 00 1 4951.364
2022 05 03 11 00 00 1 4951.401
2022 05 03 10 45 00 1 4951.447
2022 05 03 10 30 00 1 4951.498
2022 05 03 10 15 00 1 4951.553
2022 05 03 10 00 00 1 4951.610
2022 05 03 09 45 00 1 4951.669
2022 05 03 09 30 00 1 4951.727
2022 05 03 09 15 00 1 4951.784
2022 05 03 09 00 00 1 4951.840
2022 05 03 08 45 00 1 4951.895
2022 05 03 08 30 00 1 4951.949
2022 05 03 08 15 00 1 4951.998
2022 05 03 08 00 00 1 4952.043
2022 05 03 07 45 00 1 4952.080
2022 05 03 07 30 00 1 4952.114
2022 05 03 07 15 00 1 4952.136
2022 05 03 07 00 00 1 4952.153
2022 05 03 06 45 00 1 4952.164
2022 05 03 06 30 00 1 4952.166
2022 05 03 06 15 00 1 4952.159
2022 05 03 06 00 00 1 4952.145
2022 05 03 05 45 00 1 4952.124
2022 05 03 05 30 00 1 4952.097
2022 05 03 05 15 00 1 4952.061
2022 05 03 05 00 00 1 4952.020
2022 05 03 04 45 00 1 4951.970
2022 05 03 04 30 00 1 4951.918
2022 05 03 04 15 00 1 4951.861
2022 05 03 04 00 00 1 4951.799
2022 05 03 03 45 00 1 4951.734
2022 05 03 03 30 00 1 4951.668
2022 05 03 03 15 00 1 4951.606
2022 05 03 03 00 00 1 4951.542
2022 05 03 02 45 00 1 4951.482
2022 05 03 02 30 00 1 4951.424
2022 05 03 02 15 00 1 4951.368
2022 05 03 02 00 00 1 4951.318
2022 05 03 01 45 00 1 4951.275
2022 05 03 01 30 00 1 4951.238
2022 05 03 01 15 00 1 4951.211
2022 05 03 01 00 00 1 4951.191
2022 05 03 00 45 00 1 4951.182
2022 05 03 00 30 00 1 4951.176
2022 05 03 00 15 00 1 4951.182
2022 05 03 00 00 00 1 4951.197
2022 05 02 23 45 00 1 4951.223
2022 05 02 23 30 00 1 4951.256
2022 05 02 23 15 00 1 4951.295
2022 05 02 23 00 00 1 4951.343
2022 05 02 22 45 00 1 4951.399
2022 05 02 22 30 00 1 4951.458
2022 05 02 22 15 00 1 4951.523
2022 05 02 22 00 00 1 4951.596
2022 05 02 21 45 00 1 4951.667
2022 05 02 21 30 00 1 4951.738
2022 05 02 21 15 00 1 4951.810
2022 05 02 21 00 00 1 4951.884
2022 05 02 20 45 00 1 4951.954
2022 05 02 20 30 00 1 4952.021
2022 05 02 20 15 00 1 4952.083
2022 05 02 20 00 00 1 4952.142
2022 05 02 19 45 00 1 4952.194
2022 05 02 19 30 00 1 4952.240
2022 05 02 19 15 00 1 4952.280
2022 05 02 19 00 00 1 4952.309
2022 05 02 18 45 00 1 4952.334
2022 05 02 18 30 00 1 4952.349
2022 05 02 18 15 00 1 4952.356
2022 05 02 18 00 00 1 4952.356
2022 05 02 17 45 00 1 4952.346
2022 05 02 17 30 00 1 4952.327
2022 05 02 17 15 00 1 4952.299
2022 05 02 17 00 00 1 4952.262
2022 05 02 16 45 00 1 4952.218
2022 05 02 16 30 00 1 4952.167
2022 05 02 16 15 00 1 4952.109
2022 05 02 16 00 00 1 4952.045
2022 05 02 15 45 00 1 4951.977
2022 05 02 15 30 00 1 4951.906
2022 05 02 15 15 00 1 4951.837
2022 05 02 15 00 00 1 4951.767
2022 05 02 14 45 00 1 4951.695
2022 05 02 14 30 00 1 4951.626
2022 05 02 14 15 00 1 4951.558
2022 05 02 14 00 00 1 4951.493
2022 05 02 13 45 00 1 4951.432
2022 05 02 13 30 00 1 4951.378
2022 05 02 13 15 00 1 4951.330
2022 05 02 13 00 00 1 4951.290
2022 05 02 12 45 00 1 4951.260
2022 05 02 12 30 00 1 4951.236
2022 05 02 12 15 00 1 4951.221
2022 05 02 12 00 00 1 4951.217
2022 05 02 11 45 00 1 4951.216
2022 05 02 11 30 00 1 4951.227
2022 05 02 11 15 00 1 4951.245
2022 05 02 11 00 00 1 4951.276
