#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 03 12 00 00 1 1777.822
2022 05 03 11 45 00 1 1777.816
2022 05 03 11 30 00 1 1777.816
2022 05 03 11 15 00 1 1777.831
2022 05 03 11 00 00 1 1777.852
2022 05 03 10 45 00 1 1777.885
2022 05 03 10 30 00 1 1777.924
2022 05 03 10 15 00 1 1777.971
2022 05 03 10 00 00 1 1778.021
2022 05 03 09 45 00 1 1778.079
2022 05 03 09 30 00 1 1778.141
2022 05 03 09 15 00 1 1778.198
2022 05 03 09 00 00 1 1778.260
2022 05 03 08 45 00 1 1778.325
2022 05 03 08 30 00 1 1778.390
2022 05 03 08 15 00 1 1778.454
2022 05 03 08 00 00 1 1778.510
2022 05 03 07 45 00 1 1778.562
2022 05 03 07 30 00 1 1778.605
2022 05 03 07 15 00 1 1778.644
2022 05 03 07 00 00 1 1778.678
2022 05 03 06 45 00 1 1778.706
2022 05 03 06 30 00 1 1778.725
2022 05 03 06 15 00 1 1778.736
2022 05 03 06 00 00 1 1778.737
2022 05 03 05 45 00 1 1778.728
2022 05 03 05 30 00 1 1778.708
2022 05 03 05 15 00 1 1778.675
2022 05 03 05 00 00 1 1778.636
2022 05 03 04 45 00 1 1778.590
2022 05 03 04 30 00 1 1778.539
2022 05 03 04 15 00 1 1778.484
2022 05 03 04 00 00 1 1778.417
2022 05 03 03 45 00 1 1778.350
2022 05 03 03 30 00 1 1778.281
2022 05 03 03 15 00 1 1778.213
2022 05 03 03 00 00 1 1778.140
2022 05 03 02 45 00 1 1778.072
2022 05 03 02 30 00 1 1778.003
2022 05 03 02 15 00 1 1777.934
2022 05 03 02 00 00 1 1777.877
2022 05 03 01 45 00 1 1777.818
2022 05 03 01 30 00 1 1777.769
2022 05 03 01 15 00 1 1777.728
2022 05 03 01 00 00 1 1777.689
2022 05 03 00 45 00 1 1777.665
2022 05 03 00 30 00 1 1777.642
2022 05 03 00 15 00 1 1777.632
2022 05 03 00 00 00 1 1777.635
2022 05 02 23 45 00 1 1777.653
2022 05 02 23 30 00 1 1777.677
2022 05 02 23 15 00 1 1777.709
2022 05 02 23 00 00 1 1777.753
2022 05 02 22 45 00 1 1777.800
2022 05 02 22 30 00 1 1777.859
2022 05 02 22 15 00 1 1777.928
2022 05 02 22 00 00 1 1778.005
2022 05 02 21 45 00 1 1778.088
2022 05 02 21 30 00 1 1778.175
2022 05 02 21 15 00 1 1778.271
2022 05 02 21 00 00 1 1778.365
2022 05 02 20 45 00 1 1778.460
2022 05 02 20 30 00 1 1778.549
2022 05 02 20 15 00 1 1778.637
2022 05 02 20 00 00 1 1778.724
2022 05 02 19 45 00 1 1778.806
2022 05 02 19 30 00 1 1778.882
2022 05 02 19 15 00 1 1778.953
2022 05 02 19 00 00 1 1779.015
2022 05 02 18 45 00 1 1779.068
2022 05 02 18 30 00 1 1779.115
2022 05 02 18 15 00 1 1779.151
2022 05 02 18 00 00 1 1779.173
2022 05 02 17 45 00 1 1779.185
2022 05 02 17 30 00 1 1779.180
2022 05 02 17 15 00 1 1779.165
2022 05 02 17 00 00 1 1779.139
2022 05 02 16 45 00 1 1779.100
2022 05 02 16 30 00 1 1779.050
2022 05 02 16 15 00 1 1778.998
2022 05 02 16 00 00 1 1778.936
2022 05 02 15 45 00 1 1778.866
2022 05 02 15 30 00 1 1778.787
2022 05 02 15 15 00 1 1778.711
2022 05 02 15 00 00 1 1778.622
2022 05 02 14 45 00 1 1778.535
2022 05 02 14 30 00 1 1778.441
2022 05 02 14 15 00 1 1778.354
2022 05 02 14 00 00 1 1778.270
2022 05 02 13 45 00 1 1778.188
2022 05 02 13 30 00 1 1778.113
2022 05 02 13 15 00 1 1778.036
2022 05 02 13 00 00 1 1777.964
2022 05 02 12 45 00 1 1777.901
2022 05 02 12 30 00 1 1777.850
2022 05 02 12 15 00 1 1777.809
2022 05 02 12 00 00 1 1777.777
2022 05 02 11 45 00 1 1777.753
2022 05 02 11 30 00 1 1777.742
2022 05 02 11 15 00 1 1777.741
2022 05 02 11 00 00 1 1777.750
2022 05 02 10 45 00 1 1777.773
2022 05 02 10 30 00 1 1777.805
2022 05 02 10 15 00 1 1777.843
2022 05 02 10 00 00 1 1777.889
2022 05 02 09 45 00 1 1777.945
2022 05 02 09 30 00 1 1778.003
2022 05 02 09 15 00 1 1778.066
2022 05 02 09 00 00 1 1778.138
2022 05 02 08 45 00 1 1778.209
2022 05 02 08 30 00 1 1778.282
2022 05 02 08 15 00 1 1778.357
2022 05 02 08 00 00 1 1778.424
2022 05 02 07 45 00 1 1778.496
2022 05 02 07 30 00 1 1778.560
2022 05 02 07 15 00 1 1778.616
2022 05 02 07 00 00 1 1778.670
2022 05 02 06 45 00 1 1778.713
2022 05 02 06 30 00 1 1778.749
2022 05 02 06 15 00 1 1778.776
2022 05 02 06 00 00 1 1778.796
2022 05 02 05 45 00 1 1778.806
2022 05 02 05 30 00 1 1778.803
2022 05 02 05 15 00 1 1778.790
2022 05 02 05 00 00 1 1778.770
2022 05 02 04 45 00 1 1778.737
2022 05 02 04 30 00 1 1778.697
2022 05 02 04 15 00 1 1778.652
2022 05 02 04 00 00 1 1778.598
2022 05 02 03 45 00 1 1778.534
2022 05 02 03 30 00 1 1778.466
2022 05 02 03 15 00 1 1778.392
2022 05 02 03 00 00 1 1778.324
2022 05 02 02 45 00 1 1778.247
2022 05 02 02 30 00 1 1778.163
2022 05 02 02 15 00 1 1778.080
2022 05 02 02 00 00 1 1778.005
2022 05 02 01 45 00 1 1777.930
2022 05 02 01 30 00 1 1777.861
2022 05 02 01 15 00 1 1777.796
2022 05 02 01 00 00 1 1777.741
2022 05 02 00 45 00 1 1777.694
2022 05 02 00 30 00 1 1777.654
2022 05 02 00 15 00 1 1777.626
2022 05 02 00 00 00 1 1777.605
2022 05 01 23 45 00 1 1777.601
2022 05 01 23 30 00 1 1777.601
2022 05 01 23 15 00 1 1777.609
2022 05 01 23 00 00 1 1777.632
2022 05 01 22 45 00 1 1777.668
2022 05 01 22 30 00 1 1777.718
2022 05 01 22 15 00 1 1777.773
2022 05 01 22 00 00 1 1777.834
2022 05 01 21 45 00 1 1777.911
2022 05 01 21 30 00 1 1777.993
2022 05 01 21 15 00 1 1778.077
2022 05 01 21 00 00 1 1778.170
2022 05 01 20 45 00 1 1778.267
2022 05 01 20 30 00 1 1778.364
2022 05 01 20 15 00 1 1778.461
2022 05 01 20 00 00 1 1778.563
2022 05 01 19 45 00 1 1778.665
2022 05 01 19 30 00 1 1778.757
2022 05 01 19 15 00 1 1778.842
2022 05 01 19 00 00 1 1778.918
2022 05 01 18 45 00 1 1778.989
2022 05 01 18 30 00 1 1779.053
2022 05 01 18 15 00 1 1779.101
2022 05 01 18 00 00 1 1779.139
2022 05 01 17 45 00 1 1779.168
2022 05 01 17 30 00 1 1779.188
2022 05 01 17 15 00 1 1779.194
2022 05 01 17 00 00 1 1779.186
2022 05 01 16 45 00 1 1779.167
2022 05 01 16 30 00 1 1779.139
2022 05 01 16 15 00 1 1779.095
2022 05 01 16 00 00 1 1779.042
2022 05 01 15 45 00 1 1778.980
2022 05 01 15 30 00 1 1778.910
2022 05 01 15 15 00 1 1778.832
2022 05 01 15 00 00 1 1778.748
2022 05 01 14 45 00 1 1778.661
2022 05 01 14 30 00 1 1778.570
2022 05 01 14 15 00 1 1778.474
2022 05 01 14 00 00 1 1778.383
2022 05 01 13 45 00 1 1778.291
2022 05 01 13 30 00 1 1778.197
