#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 03 12 00 00 1 4080.843
2022 05 03 11 45 00 1 4080.789
2022 05 03 11 30 00 1 4080.738
2022 05 03 11 15 00 1 4080.692
2022 05 03 11 00 00 1 4080.653
2022 05 03 10 45 00 1 4080.620
2022 05 03 10 30 00 1 4080.594
2022 05 03 10 15 00 1 4080.574
2022 05 03 10 00 00 1 4080.562
2022 05 03 09 45 00 1 4080.556
2022 05 03 09 30 00 1 4080.556
2022 05 03 09 15 00 1 4080.563
2022 05 03 09 00 00 1 4080.579
2022 05 03 08 45 00 1 4080.600
2022 05 03 08 30 00 1 4080.628
2022 05 03 08 15 00 1 4080.656
2022 05 03 08 00 00 1 4080.696
2022 05 03 07 45 00 1 4080.735
2022 05 03 07 30 00 1 4080.775
2022 05 03 07 15 00 1 4080.819
2022 05 03 07 00 00 1 4080.865
2022 05 03 06 45 00 1 4080.909
2022 05 03 06 30 00 1 4080.955
2022 05 03 06 15 00 1 4081.000
2022 05 03 06 00 00 1 4081.041
2022 05 03 05 45 00 1 4081.079
2022 05 03 05 30 00 1 4081.116
2022 05 03 05 15 00 1 4081.150
2022 05 03 05 00 00 1 4081.176
2022 05 03 04 45 00 1 4081.200
2022 05 03 04 30 00 1 4081.216
2022 05 03 04 15 00 1 4081.224
2022 05 03 04 00 00 1 4081.228
2022 05 03 03 45 00 1 4081.224
2022 05 03 03 30 00 1 4081.214
2022 05 03 03 15 00 1 4081.202
2022 05 03 03 00 00 1 4081.177
2022 05 03 02 45 00 1 4081.149
2022 05 03 02 30 00 1 4081.116
2022 05 03 02 15 00 1 4081.076
2022 05 03 02 00 00 1 4081.034
2022 05 03 01 45 00 1 4080.986
2022 05 03 01 30 00 1 4080.936
2022 05 03 01 15 00 1 4080.880
2022 05 03 01 00 00 1 4080.826
2022 05 03 00 45 00 1 4080.775
2022 05 03 00 30 00 1 4080.725
2022 05 03 00 15 00 1 4080.677
2022 05 03 00 00 00 1 4080.632
2022 05 02 23 45 00 1 4080.592
2022 05 02 23 30 00 1 4080.558
2022 05 02 23 15 00 1 4080.526
2022 05 02 23 00 00 1 4080.501
2022 05 02 22 45 00 1 4080.481
2022 05 02 22 30 00 1 4080.467
2022 05 02 22 15 00 1 4080.462
2022 05 02 22 00 00 1 4080.463
2022 05 02 21 45 00 1 4080.476
2022 05 02 21 30 00 1 4080.497
2022 05 02 21 15 00 1 4080.523
2022 05 02 21 00 00 1 4080.559
2022 05 02 20 45 00 1 4080.603
2022 05 02 20 30 00 1 4080.654
2022 05 02 20 15 00 1 4080.710
2022 05 02 20 00 00 1 4080.773
2022 05 02 19 45 00 1 4080.837
2022 05 02 19 30 00 1 4080.906
2022 05 02 19 15 00 1 4080.972
2022 05 02 19 00 00 1 4081.043
2022 05 02 18 45 00 1 4081.111
2022 05 02 18 30 00 1 4081.181
2022 05 02 18 15 00 1 4081.244
2022 05 02 18 00 00 1 4081.309
2022 05 02 17 45 00 1 4081.371
2022 05 02 17 30 00 1 4081.431
2022 05 02 17 15 00 1 4081.482
2022 05 02 17 00 00 1 4081.531
2022 05 02 16 45 00 1 4081.574
2022 05 02 16 30 00 1 4081.613
2022 05 02 16 15 00 1 4081.641
2022 05 02 16 00 00 1 4081.658
2022 05 02 15 45 00 1 4081.664
2022 05 02 15 30 00 1 4081.665
2022 05 02 15 15 00 1 4081.656
2022 05 02 15 00 00 1 4081.637
2022 05 02 14 45 00 1 4081.610
2022 05 02 14 30 00 1 4081.574
2022 05 02 14 15 00 1 4081.528
2022 05 02 14 00 00 1 4081.479
2022 05 02 13 45 00 1 4081.422
2022 05 02 13 30 00 1 4081.359
2022 05 02 13 15 00 1 4081.296
2022 05 02 13 00 00 1 4081.225
2022 05 02 12 45 00 1 4081.153
2022 05 02 12 30 00 1 4081.078
2022 05 02 12 15 00 1 4081.009
2022 05 02 12 00 00 1 4080.942
2022 05 02 11 45 00 1 4080.877
2022 05 02 11 30 00 1 4080.809
2022 05 02 11 15 00 1 4080.751
2022 05 02 11 00 00 1 4080.697
2022 05 02 10 45 00 1 4080.643
2022 05 02 10 30 00 1 4080.598
2022 05 02 10 15 00 1 4080.561
2022 05 02 10 00 00 1 4080.531
2022 05 02 09 45 00 1 4080.509
2022 05 02 09 30 00 1 4080.493
2022 05 02 09 15 00 1 4080.487
2022 05 02 09 00 00 1 4080.487
2022 05 02 08 45 00 1 4080.499
2022 05 02 08 30 00 1 4080.517
2022 05 02 08 15 00 1 4080.543
2022 05 02 08 00 00 1 4080.571
2022 05 02 07 45 00 1 4080.613
2022 05 02 07 30 00 1 4080.654
2022 05 02 07 15 00 1 4080.700
2022 05 02 07 00 00 1 4080.751
2022 05 02 06 45 00 1 4080.805
2022 05 02 06 30 00 1 4080.860
2022 05 02 06 15 00 1 4080.913
2022 05 02 06 00 00 1 4080.965
2022 05 02 05 45 00 1 4081.019
2022 05 02 05 30 00 1 4081.068
2022 05 02 05 15 00 1 4081.116
2022 05 02 05 00 00 1 4081.160
2022 05 02 04 45 00 1 4081.197
2022 05 02 04 30 00 1 4081.229
2022 05 02 04 15 00 1 4081.257
2022 05 02 04 00 00 1 4081.280
2022 05 02 03 45 00 1 4081.294
2022 05 02 03 30 00 1 4081.299
2022 05 02 03 15 00 1 4081.296
2022 05 02 03 00 00 1 4081.290
2022 05 02 02 45 00 1 4081.271
2022 05 02 02 30 00 1 4081.249
2022 05 02 02 15 00 1 4081.216
2022 05 02 02 00 00 1 4081.178
2022 05 02 01 45 00 1 4081.132
2022 05 02 01 30 00 1 4081.084
2022 05 02 01 15 00 1 4081.030
2022 05 02 01 00 00 1 4080.975
2022 05 02 00 45 00 1 4080.914
2022 05 02 00 30 00 1 4080.859
2022 05 02 00 15 00 1 4080.800
2022 05 02 00 00 00 1 4080.741
2022 05 01 23 45 00 1 4080.683
2022 05 01 23 30 00 1 4080.630
2022 05 01 23 15 00 1 4080.580
2022 05 01 23 00 00 1 4080.537
2022 05 01 22 45 00 1 4080.495
2022 05 01 22 30 00 1 4080.464
2022 05 01 22 15 00 1 4080.437
2022 05 01 22 00 00 1 4080.420
2022 05 01 21 45 00 1 4080.409
2022 05 01 21 30 00 1 4080.409
2022 05 01 21 15 00 1 4080.414
2022 05 01 21 00 00 1 4080.432
2022 05 01 20 45 00 1 4080.458
2022 05 01 20 30 00 1 4080.491
2022 05 01 20 15 00 1 4080.532
