#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 03 12 00 00 1 3380.418
2022 05 03 11 45 00 1 3380.542
2022 05 03 11 30 00 1 3380.654
2022 05 03 11 15 00 1 3380.755
2022 05 03 11 00 00 1 3380.842
2022 05 03 10 45 00 1 3380.913
2022 05 03 10 30 00 1 3380.968
2022 05 03 10 15 00 1 3381.004
2022 05 03 08 00 00 1 3380.641
2022 05 03 07 45 00 1 3380.543
2022 05 03 07 30 00 1 3380.439
2022 05 03 07 15 00 1 3380.328
2022 05 03 07 00 00 1 3380.215
2022 05 03 06 45 00 1 3380.104
2022 05 03 06 30 00 1 3379.994
2022 05 03 06 15 00 1 3379.887
2022 05 03 00 00 00 1 3380.367
2022 05 02 23 45 00 1 3380.432
2022 05 02 23 30 00 1 3380.486
2022 05 02 23 15 00 1 3380.532
2022 05 02 23 00 00 1 3380.564
2022 05 02 22 45 00 1 3380.580
2022 05 02 22 30 00 1 3380.583
2022 05 02 22 15 00 1 3380.568
2022 05 02 21 59 00 2 3380.539
2022 05 02 21 58 00 2 3380.536
2022 05 02 21 57 00 2 3380.535
2022 05 02 21 56 00 2 3380.532
2022 05 02 21 55 00 2 3380.529
2022 05 02 21 54 00 2 3380.525
2022 05 02 21 53 00 2 3380.522
2022 05 02 21 52 00 2 3380.520
2022 05 02 21 51 00 2 3380.517
2022 05 02 21 50 00 2 3380.514
2022 05 02 21 49 00 2 3380.509
2022 05 02 21 48 00 2 3380.506
2022 05 02 21 47 00 2 3380.504
2022 05 02 21 46 00 2 3380.499
2022 05 02 21 45 00 2 3380.497
2022 05 02 21 44 00 2 3380.493
2022 05 02 21 43 00 2 3380.489
2022 05 02 21 42 00 2 3380.486
2022 05 02 21 41 00 2 3380.483
2022 05 02 21 40 00 2 3380.479
2022 05 02 21 39 00 2 3380.476
2022 05 02 21 38 00 2 3380.472
2022 05 02 21 37 00 2 3380.468
2022 05 02 21 36 00 2 3380.464
2022 05 02 21 35 00 2 3380.460
2022 05 02 21 34 00 2 3380.456
2022 05 02 21 33 00 2 3380.453
2022 05 02 21 32 00 2 3380.447
2022 05 02 21 31 00 2 3380.445
2022 05 02 21 30 00 2 3380.440
2022 05 02 21 29 00 2 3380.435
2022 05 02 21 28 00 2 3380.431
2022 05 02 21 27 00 2 3380.427
2022 05 02 21 26 00 2 3380.423
2022 05 02 21 25 00 2 3380.418
2022 05 02 21 24 00 2 3380.412
2022 05 02 21 23 00 2 3380.407
2022 05 02 21 22 00 2 3380.402
2022 05 02 21 21 00 2 3380.398
2022 05 02 21 20 00 2 3380.392
2022 05 02 21 19 00 2 3380.387
2022 05 02 21 18 00 2 3380.382
2022 05 02 21 17 00 2 3380.379
2022 05 02 21 16 00 2 3380.372
2022 05 02 21 15 00 2 3380.366
2022 05 02 21 14 00 2 3380.361
2022 05 02 21 13 00 2 3380.356
2022 05 02 21 12 00 2 3380.350
2022 05 02 21 11 00 2 3380.344
2022 05 02 21 10 00 2 3380.340
2022 05 02 21 09 00 2 3380.334
2022 05 02 21 08 00 2 3380.327
2022 05 02 21 07 00 2 3380.322
2022 05 02 21 06 00 2 3380.317
2022 05 02 21 05 00 2 3380.309
2022 05 02 21 04 00 2 3380.303
2022 05 02 21 03 00 2 3380.297
2022 05 02 21 02 00 2 3380.291
2022 05 02 21 01 00 2 3380.285
2022 05 02 21 00 00 2 3380.279
2022 05 02 20 59 00 2 3380.272
2022 05 02 20 58 00 2 3380.268
2022 05 02 20 57 00 2 3380.262
2022 05 02 20 56 00 2 3380.254
2022 05 02 20 55 00 2 3380.249
2022 05 02 20 54 00 2 3380.244
2022 05 02 20 53 00 2 3380.236
2022 05 02 20 52 00 2 3380.230
2022 05 02 20 51 00 2 3380.222
2022 05 02 20 50 00 2 3380.216
2022 05 02 20 49 00 2 3380.209
2022 05 02 20 48 00 2 3380.202
2022 05 02 20 47 00 2 3380.195
2022 05 02 20 46 00 2 3380.187
2022 05 02 20 45 00 2 3380.180
2022 05 02 20 44 00 2 3380.174
2022 05 02 20 43 00 2 3380.166
2022 05 02 20 42 00 2 3380.158
2022 05 02 20 41 00 2 3380.151
2022 05 02 20 40 00 2 3380.145
2022 05 02 20 39 00 2 3380.136
2022 05 02 20 38 00 2 3380.130
2022 05 02 20 37 00 2 3380.122
2022 05 02 20 36 00 2 3380.114
2022 05 02 20 35 00 2 3380.106
2022 05 02 20 34 00 2 3380.099
2022 05 02 20 33 00 2 3380.092
2022 05 02 20 32 00 2 3380.084
2022 05 02 20 31 00 2 3380.077
2022 05 02 20 30 00 2 3380.068
2022 05 02 20 29 00 2 3380.061
2022 05 02 20 28 00 2 3380.052
2022 05 02 20 27 00 2 3380.044
2022 05 02 20 26 00 2 3380.036
2022 05 02 20 25 00 2 3380.029
2022 05 02 20 24 00 2 3380.020
2022 05 02 20 23 00 2 3380.011
2022 05 02 20 22 00 2 3380.003
2022 05 02 20 21 00 2 3379.996
2022 05 02 20 20 00 2 3379.988
2022 05 02 20 19 00 2 3379.980
2022 05 02 20 18 00 2 3379.971
2022 05 02 20 17 00 2 3379.962
2022 05 02 20 16 00 2 3379.954
2022 05 02 20 15 00 2 3379.947
2022 05 02 20 14 00 2 3379.937
2022 05 02 20 13 00 2 3379.929
2022 05 02 20 12 00 2 3379.919
2022 05 02 20 11 00 2 3379.911
2022 05 02 20 10 00 2 3379.902
2022 05 02 20 09 00 2 3379.893
2022 05 02 20 08 00 2 3379.885
2022 05 02 20 07 00 2 3379.878
2022 05 02 20 06 00 2 3379.868
2022 05 02 20 05 00 2 3379.859
2022 05 02 20 04 00 2 3379.851
2022 05 02 20 03 00 2 3379.842
2022 05 02 20 02 00 2 3379.834
2022 05 02 20 01 00 2 3379.824
2022 05 02 20 00 00 2 3379.817
2022 05 02 19 59 00 2 3379.807
2022 05 02 19 58 00 2 3379.797
2022 05 02 19 57 00 2 3379.788
2022 05 02 19 56 00 2 3379.780
2022 05 02 19 55 00 2 3379.771
2022 05 02 19 54 00 2 3379.761
2022 05 02 19 53 00 2 3379.751
2022 05 02 19 52 00 2 3379.743
2022 05 02 19 51 00 2 3379.733
2022 05 02 19 50 00 2 3379.723
2022 05 02 19 49 00 2 3379.715
2022 05 02 19 48 00 2 3379.705
2022 05 02 19 47 00 2 3379.696
2022 05 02 19 46 00 2 3379.687
2022 05 02 19 45 00 2 3379.677
2022 05 02 19 44 00 2 3379.668
2022 05 02 19 43 00 2 3379.660
2022 05 02 19 42 00 2 3379.649
2022 05 02 19 41 00 2 3379.639
2022 05 02 19 40 00 2 3379.629
2022 05 02 19 39 00 2 3379.619
2022 05 02 19 38 00 2 3379.609
2022 05 02 19 37 00 2 3379.601
2022 05 02 19 36 00 2 3379.591
2022 05 02 19 35 00 2 3379.581
2022 05 02 19 34 00 2 3379.573
2022 05 02 19 33 00 2 3379.563
2022 05 02 19 32 00 2 3379.553
2022 05 02 19 31 00 2 3379.543
2022 05 02 19 30 00 2 3379.533
2022 05 02 19 29 00 2 3379.524
2022 05 02 19 28 00 2 3379.514
2022 05 02 19 27 00 2 3379.504
2022 05 02 19 26 00 2 3379.495
2022 05 02 19 25 00 2 3379.485
2022 05 02 19 24 00 2 3379.476
2022 05 02 19 23 00 2 3379.466
2022 05 02 19 22 00 2 3379.456
2022 05 02 19 21 00 2 3379.446
2022 05 02 19 20 00 2 3379.437
2022 05 02 19 19 00 2 3379.428
2022 05 02 19 18 00 2 3379.418
2022 05 02 19 17 00 2 3379.407
2022 05 02 19 16 00 2 3379.398
2022 05 02 19 15 00 2 3379.387
2022 05 02 19 14 00 2 3379.378
2022 05 02 19 13 00 2 3379.368
2022 05 02 19 12 00 2 3379.358
2022 05 02 19 11 00 2 3379.348
2022 05 02 19 10 00 2 3379.339
2022 05 02 19 09 00 2 3379.328
2022 05 02 19 08 00 2 3379.318
2022 05 02 19 07 00 2 3379.309
2022 05 02 19 06 00 2 3379.301
2022 05 02 19 05 00 2 3379.290
2022 05 02 19 04 00 2 3379.279
2022 05 02 19 03 00 2 3379.270
2022 05 02 19 02 00 2 3379.260
2022 05 02 19 01 00 2 3379.249
2022 05 02 19 00 00 2 3379.241
2022 05 02 18 59 00 2 3379.231
2022 05 02 18 58 00 2 3379.221
2022 05 02 18 57 00 2 3379.212
2022 05 02 18 56 00 2 3379.202
2022 05 02 18 55 00 2 3379.192
2022 05 02 18 54 00 2 3379.183
2022 05 02 18 53 00 2 3379.173
