#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 01 12 00 00 1 5658.653
2022 05 01 11 45 00 1 5658.493
2022 05 01 11 30 00 1 5658.333
2022 05 01 11 15 00 1 5658.178
2022 05 01 11 00 00 1 5658.027
2022 05 01 10 45 00 1 5657.888
2022 05 01 10 30 00 1 5657.762
2022 05 01 10 15 00 1 5657.651
2022 05 01 10 00 00 1 5657.553
2022 05 01 09 45 00 1 5657.475
2022 05 01 09 30 00 1 5657.418
2022 05 01 09 15 00 1 5657.379
2022 05 01 09 00 00 1 5657.361
2022 05 01 08 45 00 1 5657.363
2022 05 01 08 30 00 1 5657.390
2022 05 01 08 15 00 1 5657.440
2022 05 01 08 00 00 1 5657.510
2022 05 01 07 45 00 1 5657.599
2022 05 01 07 30 00 1 5657.709
2022 05 01 07 15 00 1 5657.837
2022 05 01 07 00 00 1 5657.977
2022 05 01 06 45 00 1 5658.131
2022 05 01 06 30 00 1 5658.297
2022 05 01 06 15 00 1 5658.467
2022 05 01 06 00 00 1 5658.643
2022 05 01 05 45 00 1 5658.821
2022 05 01 05 30 00 1 5658.998
2022 05 01 05 15 00 1 5659.174
2022 05 01 05 00 00 1 5659.343
2022 05 01 04 45 00 1 5659.501
2022 05 01 04 30 00 1 5659.653
2022 05 01 04 15 00 1 5659.793
2022 05 01 04 00 00 1 5659.917
2022 05 01 03 45 00 1 5660.023
2022 05 01 03 30 00 1 5660.112
2022 05 01 03 15 00 1 5660.185
2022 05 01 03 00 00 1 5660.236
2022 05 01 02 45 00 1 5660.267
2022 05 01 02 30 00 1 5660.276
2022 05 01 02 15 00 1 5660.264
2022 05 01 02 00 00 1 5660.232
2022 05 01 01 45 00 1 5660.180
2022 05 01 01 30 00 1 5660.107
2022 05 01 01 15 00 1 5660.016
2022 05 01 01 00 00 1 5659.908
2022 05 01 00 45 00 1 5659.784
2022 05 01 00 30 00 1 5659.648
2022 05 01 00 15 00 1 5659.502
2022 05 01 00 00 00 1 5659.350
2022 04 30 23 45 00 1 5659.193
2022 04 30 23 30 00 1 5659.035
2022 04 30 23 15 00 1 5658.875
2022 04 30 23 00 00 1 5658.715
2022 04 30 22 45 00 1 5658.560
2022 04 30 22 30 00 1 5658.411
2022 04 30 22 15 00 1 5658.275
2022 04 30 22 00 00 1 5658.148
2022 04 30 21 45 00 1 5658.036
2022 04 30 21 30 00 1 5657.941
2022 04 30 21 15 00 1 5657.864
2022 04 30 21 00 00 1 5657.804
2022 04 30 20 45 00 1 5657.765
2022 04 30 20 30 00 1 5657.746
2022 04 30 20 15 00 1 5657.747
2022 04 30 20 00 00 1 5657.768
2022 04 30 19 45 00 1 5657.808
2022 04 30 19 30 00 1 5657.869
2022 04 30 19 15 00 1 5657.945
2022 04 30 19 00 00 1 5658.036
2022 04 30 18 45 00 1 5658.142
2022 04 30 18 30 00 1 5658.263
2022 04 30 18 15 00 1 5658.390
2022 04 30 18 00 00 1 5658.527
2022 04 30 17 45 00 1 5658.667
2022 04 30 17 30 00 1 5658.809
2022 04 30 17 15 00 1 5658.953
2022 04 30 17 00 00 1 5659.092
2022 04 30 16 45 00 1 5659.226
2022 04 30 16 30 00 1 5659.355
2022 04 30 16 15 00 1 5659.475
2022 04 30 16 00 00 1 5659.581
2022 04 30 15 45 00 1 5659.672
2022 04 30 15 30 00 1 5659.752
2022 04 30 15 15 00 1 5659.813
2022 04 30 15 00 00 1 5659.857
2022 04 30 14 45 00 1 5659.881
2022 04 30 14 30 00 1 5659.891
2022 04 30 14 15 00 1 5659.879
2022 04 30 14 00 00 1 5659.847
2022 04 30 13 45 00 1 5659.796
2022 04 30 13 30 00 1 5659.732
2022 04 30 13 15 00 1 5659.646
2022 04 30 13 00 00 1 5659.547
2022 04 30 12 45 00 1 5659.432
2022 04 30 12 30 00 1 5659.305
2022 04 30 12 15 00 1 5659.169
2022 04 30 12 00 00 1 5659.023
2022 04 30 11 45 00 1 5658.871
2022 04 30 11 30 00 1 5658.717
2022 04 30 11 15 00 1 5658.562
2022 04 30 11 00 00 1 5658.408
2022 04 30 10 45 00 1 5658.258
2022 04 30 10 30 00 1 5658.115
2022 04 30 10 15 00 1 5657.985
2022 04 30 10 00 00 1 5657.863
2022 04 30 09 45 00 1 5657.755
2022 04 30 09 30 00 1 5657.663
2022 04 30 09 15 00 1 5657.588
2022 04 30 09 00 00 1 5657.530
2022 04 30 08 45 00 1 5657.492
2022 04 30 08 30 00 1 5657.475
2022 04 30 08 15 00 1 5657.476
2022 04 30 08 00 00 1 5657.499
2022 04 30 07 45 00 1 5657.543
2022 04 30 07 30 00 1 5657.607
2022 04 30 07 15 00 1 5657.689
2022 04 30 07 00 00 1 5657.789
2022 04 30 06 45 00 1 5657.907
2022 04 30 06 30 00 1 5658.038
2022 04 30 06 15 00 1 5658.182
2022 04 30 06 00 00 1 5658.335
2022 04 30 05 45 00 1 5658.494
2022 04 30 05 30 00 1 5658.660
2022 04 30 05 15 00 1 5658.829
2022 04 30 05 00 00 1 5658.995
2022 04 30 04 45 00 1 5659.159
2022 04 30 04 30 00 1 5659.315
2022 04 30 04 15 00 1 5659.467
2022 04 30 04 00 00 1 5659.608
2022 04 30 03 45 00 1 5659.738
2022 04 30 03 30 00 1 5659.856
2022 04 30 03 15 00 1 5659.954
2022 04 30 03 00 00 1 5660.037
2022 04 30 02 45 00 1 5660.101
2022 04 30 02 30 00 1 5660.148
2022 04 30 02 15 00 1 5660.172
2022 04 30 02 00 00 1 5660.176
2022 04 30 01 45 00 1 5660.161
2022 04 30 01 30 00 1 5660.128
2022 04 30 01 15 00 1 5660.075
2022 04 30 01 00 00 1 5660.002
2022 04 30 00 45 00 1 5659.911
2022 04 30 00 30 00 1 5659.806
2022 04 30 00 15 00 1 5659.687
2022 04 30 00 00 00 1 5659.556
2022 04 29 23 45 00 1 5659.418
2022 04 29 23 30 00 1 5659.273
2022 04 29 23 15 00 1 5659.122
2022 04 29 23 00 00 1 5658.969
2022 04 29 22 45 00 1 5658.817
2022 04 29 22 30 00 1 5658.668
2022 04 29 22 15 00 1 5658.522
2022 04 29 22 00 00 1 5658.382
2022 04 29 21 45 00 1 5658.253
2022 04 29 21 30 00 1 5658.138
2022 04 29 21 15 00 1 5658.033
2022 04 29 21 00 00 1 5657.945
2022 04 29 20 45 00 1 5657.876
2022 04 29 20 30 00 1 5657.822
2022 04 29 20 15 00 1 5657.786
2022 04 29 20 00 00 1 5657.768
2022 04 29 19 45 00 1 5657.769
2022 04 29 19 30 00 1 5657.787
2022 04 29 19 15 00 1 5657.828
2022 04 29 19 00 00 1 5657.883
2022 04 29 18 45 00 1 5657.953
2022 04 29 18 30 00 1 5658.041
2022 04 29 18 15 00 1 5658.143
2022 04 29 18 00 00 1 5658.253
2022 04 29 17 45 00 1 5658.377
2022 04 29 17 30 00 1 5658.508
2022 04 29 17 15 00 1 5658.643
2022 04 29 17 00 00 1 5658.783
2022 04 29 16 45 00 1 5658.918
2022 04 29 16 30 00 1 5659.054
2022 04 29 16 15 00 1 5659.182
2022 04 29 16 00 00 1 5659.306
2022 04 29 15 45 00 1 5659.421
2022 04 29 15 30 00 1 5659.527
2022 04 29 15 15 00 1 5659.619
2022 04 29 15 00 00 1 5659.696
2022 04 29 14 45 00 1 5659.758
2022 04 29 14 30 00 1 5659.803
2022 04 29 14 15 00 1 5659.830
2022 04 29 14 00 00 1 5659.841
2022 04 29 13 45 00 1 5659.836
2022 04 29 13 30 00 1 5659.813
2022 04 29 13 15 00 1 5659.771
2022 04 29 13 00 00 1 5659.711
2022 04 29 12 45 00 1 5659.632
2022 04 29 12 30 00 1 5659.543
2022 04 29 12 15 00 1 5659.437
2022 04 29 12 00 00 1 5659.321
2022 04 29 11 45 00 1 5659.197
2022 04 29 11 30 00 1 5659.064
2022 04 29 11 15 00 1 5658.930
2022 04 29 11 00 00 1 5658.789
2022 04 29 10 45 00 1 5658.651
2022 04 29 10 30 00 1 5658.515
2022 04 29 10 15 00 1 5658.383
2022 04 29 10 00 00 1 5658.254
2022 04 29 09 45 00 1 5658.133
2022 04 29 09 30 00 1 5658.023
2022 04 29 09 15 00 1 5657.924
2022 04 29 09 00 00 1 5657.836
2022 04 29 08 45 00 1 5657.767
2022 04 29 08 30 00 1 5657.713
2022 04 29 08 15 00 1 5657.675
2022 04 29 08 00 00 1 5657.656
2022 04 29 07 45 00 1 5657.655
2022 04 29 07 30 00 1 5657.675
2022 04 29 07 15 00 1 5657.712
2022 04 29 07 00 00 1 5657.767
2022 04 29 06 45 00 1 5657.840
2022 04 29 06 30 00 1 5657.929
2022 04 29 06 15 00 1 5658.030
2022 04 29 06 00 00 1 5658.146
2022 04 29 05 45 00 1 5658.273
2022 04 29 05 30 00 1 5658.407
2022 04 29 05 15 00 1 5658.550
2022 04 29 05 00 00 1 5658.696
2022 04 29 04 45 00 1 5658.844
2022 04 29 04 30 00 1 5658.993
2022 04 29 04 15 00 1 5659.138
2022 04 29 04 00 00 1 5659.278
2022 04 29 03 45 00 1 5659.411
2022 04 29 03 30 00 1 5659.539
2022 04 29 03 15 00 1 5659.654
2022 04 29 03 00 00 1 5659.756
2022 04 29 02 45 00 1 5659.846
2022 04 29 02 30 00 1 5659.924
2022 04 29 02 15 00 1 5659.979
2022 04 29 02 00 00 1 5660.021
2022 04 29 01 45 00 1 5660.041
2022 04 29 01 30 00 1 5660.045
2022 04 29 01 15 00 1 5660.034
2022 04 29 01 00 00 1 5660.002
2022 04 29 00 45 00 1 5659.951
2022 04 29 00 30 00 1 5659.887
2022 04 29 00 15 00 1 5659.805
2022 04 29 00 00 00 1 5659.707
2022 04 28 23 45 00 1 5659.601
2022 04 28 23 30 00 1 5659.483
2022 04 28 23 15 00 1 5659.358
2022 04 28 23 00 00 1 5659.226
2022 04 28 22 45 00 1 5659.089
2022 04 28 22 30 00 1 5658.950
2022 04 28 22 15 00 1 5658.812
2022 04 28 22 00 00 1 5658.674
2022 04 28 21 45 00 1 5658.540
2022 04 28 21 30 00 1 5658.414
2022 04 28 21 15 00 1 5658.298
2022 04 28 21 00 00 1 5658.190
2022 04 28 20 45 00 1 5658.095
2022 04 28 20 30 00 1 5658.014
2022 04 28 20 15 00 1 5657.947
2022 04 28 20 00 00 1 5657.896
2022 04 28 19 45 00 1 5657.860
2022 04 28 19 30 00 1 5657.840
2022 04 28 19 15 00 1 5657.838
2022 04 28 19 00 00 1 5657.849
2022 04 28 18 45 00 1 5657.880
2022 04 28 18 30 00 1 5657.925
2022 04 28 18 15 00 1 5657.988
2022 04 28 18 00 00 1 5658.063
2022 04 28 17 45 00 1 5658.152
2022 04 28 17 30 00 1 5658.250
2022 04 28 17 15 00 1 5658.359
2022 04 28 17 00 00 1 5658.474
2022 04 28 16 45 00 1 5658.594
2022 04 28 16 30 00 1 5658.719
2022 04 28 16 15 00 1 5658.843
2022 04 28 16 00 00 1 5658.963
2022 04 28 15 45 00 1 5659.084
2022 04 28 15 30 00 1 5659.196
2022 04 28 15 15 00 1 5659.304
2022 04 28 15 00 00 1 5659.399
2022 04 28 14 45 00 1 5659.488
2022 04 28 14 30 00 1 5659.565
2022 04 28 14 15 00 1 5659.626
2022 04 28 14 00 00 1 5659.672
2022 04 28 13 45 00 1 5659.702
2022 04 28 13 30 00 1 5659.720
2022 04 28 13 15 00 1 5659.721
2022 04 28 13 00 00 1 5659.705
2022 04 28 12 45 00 1 5659.678
2022 04 28 12 30 00 1 5659.635
2022 04 28 12 15 00 1 5659.576
2022 04 28 12 00 00 1 5659.502
2022 04 28 11 45 00 1 5659.419
2022 04 28 11 30 00 1 5659.325
2022 04 28 11 15 00 1 5659.222
2022 04 28 11 00 00 1 5659.113
2022 04 28 10 45 00 1 5659.003
2022 04 28 10 30 00 1 5658.887
2022 04 28 10 15 00 1 5658.771
2022 04 28 10 00 00 1 5658.657
2022 04 28 09 45 00 1 5658.543
2022 04 28 09 30 00 1 5658.432
2022 04 28 09 15 00 1 5658.331
2022 04 28 09 00 00 1 5658.234
2022 04 28 08 45 00 1 5658.149
2022 04 28 08 30 00 1 5658.074
2022 04 28 08 15 00 1 5658.010
2022 04 28 08 00 00 1 5657.959
2022 04 28 07 45 00 1 5657.923
2022 04 28 07 30 00 1 5657.902
2022 04 28 07 15 00 1 5657.894
2022 04 28 07 00 00 1 5657.901
2022 04 28 06 45 00 1 5657.924
2022 04 28 06 30 00 1 5657.963
2022 04 28 06 15 00 1 5658.014
2022 04 28 06 00 00 1 5658.080
2022 04 28 05 45 00 1 5658.159
2022 04 28 05 30 00 1 5658.246
2022 04 28 05 15 00 1 5658.345
2022 04 28 05 00 00 1 5658.451
2022 04 28 04 45 00 1 5658.564
2022 04 28 04 30 00 1 5658.681
2022 04 28 04 15 00 1 5658.800
2022 04 28 04 00 00 1 5658.921
2022 04 28 03 45 00 1 5659.038
2022 04 28 03 30 00 1 5659.157
2022 04 28 03 15 00 1 5659.270
2022 04 28 03 00 00 1 5659.374
2022 04 28 02 45 00 1 5659.469
2022 04 28 02 30 00 1 5659.556
2022 04 28 02 15 00 1 5659.632
2022 04 28 02 00 00 1 5659.692
2022 04 28 01 45 00 1 5659.741
2022 04 28 01 30 00 1 5659.774
2022 04 28 01 15 00 1 5659.795
2022 04 28 01 00 00 1 5659.798
2022 04 28 00 45 00 1 5659.788
2022 04 28 00 30 00 1 5659.763
2022 04 28 00 15 00 1 5659.723
2022 04 28 00 00 00 1 5659.671
2022 04 27 23 45 00 1 5659.606
2022 04 27 23 30 00 1 5659.527
2022 04 27 23 15 00 1 5659.440
2022 04 27 23 00 00 1 5659.342
2022 04 27 22 45 00 1 5659.238
2022 04 27 22 30 00 1 5659.130
2022 04 27 22 15 00 1 5659.015
2022 04 27 22 00 00 1 5658.902
2022 04 27 21 45 00 1 5658.788
2022 04 27 21 30 00 1 5658.676
2022 04 27 21 15 00 1 5658.565
2022 04 27 21 00 00 1 5658.462
2022 04 27 20 45 00 1 5658.365
2022 04 27 20 30 00 1 5658.277
2022 04 27 20 15 00 1 5658.198
2022 04 27 20 00 00 1 5658.128
2022 04 27 19 45 00 1 5658.070
2022 04 27 19 30 00 1 5658.023
2022 04 27 19 15 00 1 5657.989
2022 04 27 19 00 00 1 5657.968
2022 04 27 18 45 00 1 5657.962
2022 04 27 18 30 00 1 5657.969
2022 04 27 18 15 00 1 5657.989
2022 04 27 18 00 00 1 5658.025
2022 04 27 17 45 00 1 5658.071
2022 04 27 17 30 00 1 5658.129
2022 04 27 17 15 00 1 5658.200
2022 04 27 17 00 00 1 5658.278
2022 04 27 16 45 00 1 5658.363
2022 04 27 16 30 00 1 5658.458
2022 04 27 16 15 00 1 5658.552
2022 04 27 16 00 00 1 5658.648
2022 04 27 15 45 00 1 5658.749
2022 04 27 15 30 00 1 5658.848
2022 04 27 15 15 00 1 5658.948
2022 04 27 15 00 00 1 5659.043
2022 04 27 14 45 00 1 5659.132
2022 04 27 14 30 00 1 5659.219
2022 04 27 14 15 00 1 5659.295
2022 04 27 14 00 00 1 5659.364
2022 04 27 13 45 00 1 5659.422
2022 04 27 13 30 00 1 5659.470
2022 04 27 13 15 00 1 5659.507
2022 04 27 13 00 00 1 5659.536
2022 04 27 12 45 00 1 5659.547
2022 04 27 12 30 00 1 5659.548
2022 04 27 12 15 00 1 5659.538
2022 04 27 12 00 00 1 5659.514
2022 04 27 11 45 00 1 5659.481
2022 04 27 11 30 00 1 5659.437
2022 04 27 11 15 00 1 5659.382
2022 04 27 11 00 00 1 5659.321
2022 04 27 10 45 00 1 5659.251
2022 04 27 10 30 00 1 5659.178
2022 04 27 10 15 00 1 5659.098
2022 04 27 10 00 00 1 5659.017
2022 04 27 09 45 00 1 5658.933
2022 04 27 09 30 00 1 5658.848
2022 04 27 09 15 00 1 5658.763
2022 04 27 09 00 00 1 5658.679
2022 04 27 08 45 00 1 5658.600
2022 04 27 08 30 00 1 5658.527
2022 04 27 08 15 00 1 5658.459
2022 04 27 08 00 00 1 5658.398
2022 04 27 07 45 00 1 5658.343
2022 04 27 07 30 00 1 5658.299
2022 04 27 07 15 00 1 5658.262
2022 04 27 07 00 00 1 5658.239
2022 04 27 06 45 00 1 5658.223
2022 04 27 06 30 00 1 5658.220
2022 04 27 06 15 00 1 5658.226
2022 04 27 06 00 00 1 5658.243
2022 04 27 05 45 00 1 5658.272
2022 04 27 05 30 00 1 5658.308
2022 04 27 05 15 00 1 5658.354
2022 04 27 05 00 00 1 5658.410
2022 04 27 04 45 00 1 5658.473
2022 04 27 04 30 00 1 5658.543
2022 04 27 04 15 00 1 5658.619
2022 04 27 04 00 00 1 5658.698
2022 04 27 03 45 00 1 5658.780
2022 04 27 03 30 00 1 5658.863
2022 04 27 03 15 00 1 5658.948
2022 04 27 03 00 00 1 5659.031
2022 04 27 02 45 00 1 5659.111
2022 04 27 02 30 00 1 5659.186
2022 04 27 02 15 00 1 5659.255
2022 04 27 02 00 00 1 5659.319
2022 04 27 01 45 00 1 5659.373
2022 04 27 01 30 00 1 5659.422
2022 04 27 01 15 00 1 5659.459
2022 04 27 01 00 00 1 5659.487
2022 04 27 00 45 00 1 5659.505
2022 04 27 00 30 00 1 5659.510
2022 04 27 00 15 00 1 5659.507
2022 04 27 00 00 00 1 5659.491
2022 04 26 23 45 00 1 5659.466
2022 04 26 23 30 00 1 5659.432
2022 04 26 23 15 00 1 5659.388
2022 04 26 23 00 00 1 5659.333
2022 04 26 22 45 00 1 5659.274
2022 04 26 22 30 00 1 5659.207
2022 04 26 22 15 00 1 5659.134
2022 04 26 22 00 00 1 5659.057
