#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 01 12 00 00 1 4234.160
2022 05 01 11 45 00 1 4234.104
2022 05 01 11 30 00 1 4234.046
2022 05 01 11 15 00 1 4233.983
2022 05 01 11 00 00 1 4233.918
2022 05 01 10 45 00 1 4233.852
2022 05 01 10 30 00 1 4233.786
2022 05 01 10 15 00 1 4233.721
2022 05 01 10 00 00 1 4233.661
2022 05 01 09 45 00 1 4233.603
2022 05 01 09 30 00 1 4233.548
2022 05 01 09 15 00 1 4233.498
2022 05 01 09 00 00 1 4233.452
2022 05 01 08 45 00 1 4233.413
2022 05 01 08 30 00 1 4233.379
2022 05 01 08 15 00 1 4233.351
2022 05 01 08 00 00 1 4233.329
2022 05 01 07 45 00 1 4233.313
2022 05 01 07 30 00 1 4233.308
2022 05 01 07 15 00 1 4233.311
2022 05 01 07 00 00 1 4233.320
2022 05 01 06 45 00 1 4233.339
2022 05 01 06 30 00 1 4233.361
2022 05 01 06 15 00 1 4233.392
2022 05 01 06 00 00 1 4233.430
2022 05 01 05 45 00 1 4233.469
2022 05 01 05 30 00 1 4233.517
2022 05 01 05 15 00 1 4233.567
2022 05 01 05 00 00 1 4233.619
2022 05 01 04 45 00 1 4233.673
2022 05 01 04 30 00 1 4233.729
2022 05 01 04 15 00 1 4233.780
2022 05 01 04 00 00 1 4233.832
2022 05 01 03 45 00 1 4233.884
2022 05 01 03 30 00 1 4233.930
2022 05 01 03 15 00 1 4233.974
2022 05 01 03 00 00 1 4234.010
2022 05 01 02 45 00 1 4234.045
2022 05 01 02 30 00 1 4234.077
2022 05 01 02 15 00 1 4234.098
2022 05 01 02 00 00 1 4234.115
2022 05 01 01 45 00 1 4234.132
2022 05 01 01 30 00 1 4234.132
2022 05 01 01 15 00 1 4234.128
2022 05 01 01 00 00 1 4234.118
2022 05 01 00 45 00 1 4234.098
2022 05 01 00 30 00 1 4234.079
2022 05 01 00 15 00 1 4234.044
2022 05 01 00 00 00 1 4234.008
2022 04 30 23 45 00 1 4233.971
2022 04 30 23 30 00 1 4233.925
2022 04 30 23 15 00 1 4233.879
2022 04 30 23 00 00 1 4233.828
2022 04 30 22 45 00 1 4233.779
2022 04 30 22 30 00 1 4233.726
2022 04 30 22 15 00 1 4233.673
2022 04 30 22 00 00 1 4233.623
2022 04 30 21 45 00 1 4233.579
2022 04 30 21 30 00 1 4233.529
2022 04 30 21 15 00 1 4233.491
2022 04 30 21 00 00 1 4233.456
2022 04 30 20 45 00 1 4233.425
2022 04 30 20 30 00 1 4233.399
2022 04 30 20 15 00 1 4233.377
2022 04 30 20 00 00 1 4233.364
2022 04 30 19 45 00 1 4233.360
2022 04 30 19 30 00 1 4233.363
2022 04 30 19 15 00 1 4233.368
2022 04 30 19 00 00 1 4233.386
2022 04 30 18 45 00 1 4233.412
2022 04 30 18 30 00 1 4233.444
2022 04 30 18 15 00 1 4233.482
2022 04 30 18 00 00 1 4233.527
2022 04 30 17 45 00 1 4233.573
2022 04 30 17 30 00 1 4233.624
2022 04 30 17 15 00 1 4233.680
2022 04 30 17 00 00 1 4233.734
2022 04 30 16 45 00 1 4233.792
2022 04 30 16 30 00 1 4233.852
2022 04 30 16 15 00 1 4233.910
2022 04 30 16 00 00 1 4233.969
2022 04 30 15 45 00 1 4234.026
2022 04 30 15 30 00 1 4234.081
2022 04 30 15 15 00 1 4234.132
2022 04 30 15 00 00 1 4234.178
2022 04 30 14 45 00 1 4234.219
2022 04 30 14 30 00 1 4234.255
2022 04 30 14 15 00 1 4234.282
2022 04 30 14 00 00 1 4234.303
2022 04 30 13 45 00 1 4234.320
2022 04 30 13 30 00 1 4234.328
2022 04 30 13 15 00 1 4234.330
2022 04 30 13 00 00 1 4234.325
2022 04 30 12 45 00 1 4234.310
2022 04 30 12 30 00 1 4234.289
2022 04 30 12 15 00 1 4234.262
2022 04 30 12 00 00 1 4234.228
2022 04 30 11 45 00 1 4234.184
2022 04 30 11 30 00 1 4234.138
2022 04 30 11 15 00 1 4234.083
2022 04 30 11 00 00 1 4234.027
2022 04 30 10 45 00 1 4233.969
2022 04 30 10 30 00 1 4233.904
2022 04 30 10 15 00 1 4233.836
2022 04 30 10 00 00 1 4233.770
2022 04 30 09 45 00 1 4233.708
2022 04 30 09 30 00 1 4233.643
2022 04 30 09 15 00 1 4233.584
2022 04 30 09 00 00 1 4233.528
2022 04 30 08 45 00 1 4233.476
2022 04 30 08 30 00 1 4233.431
2022 04 30 08 15 00 1 4233.387
2022 04 30 08 00 00 1 4233.350
2022 04 30 07 45 00 1 4233.325
2022 04 30 07 30 00 1 4233.302
2022 04 30 07 15 00 1 4233.290
2022 04 30 07 00 00 1 4233.282
2022 04 30 06 45 00 1 4233.283
2022 04 30 06 30 00 1 4233.296
2022 04 30 06 15 00 1 4233.313
2022 04 30 06 00 00 1 4233.340
2022 04 30 05 45 00 1 4233.374
2022 04 30 05 30 00 1 4233.412
2022 04 30 05 15 00 1 4233.459
2022 04 30 05 00 00 1 4233.503
2022 04 30 04 45 00 1 4233.558
2022 04 30 04 30 00 1 4233.616
2022 04 30 04 15 00 1 4233.674
2022 04 30 04 00 00 1 4233.734
2022 04 30 03 45 00 1 4233.792
2022 04 30 03 30 00 1 4233.853
2022 04 30 03 15 00 1 4233.911
2022 04 30 03 00 00 1 4233.967
2022 04 30 02 45 00 1 4234.016
2022 04 30 02 30 00 1 4234.058
2022 04 30 02 15 00 1 4234.100
2022 04 30 02 00 00 1 4234.139
2022 04 30 01 45 00 1 4234.167
2022 04 30 01 30 00 1 4234.190
2022 04 30 01 15 00 1 4234.204
2022 04 30 01 00 00 1 4234.209
2022 04 30 00 45 00 1 4234.208
2022 04 30 00 30 00 1 4234.201
2022 04 30 00 15 00 1 4234.186
2022 04 30 00 00 00 1 4234.164
2022 04 29 23 45 00 1 4234.136
2022 04 29 23 30 00 1 4234.104
2022 04 29 23 15 00 1 4234.066
2022 04 29 23 00 00 1 4234.022
2022 04 29 22 45 00 1 4233.973
2022 04 29 22 30 00 1 4233.924
2022 04 29 22 15 00 1 4233.870
2022 04 29 22 00 00 1 4233.814
2022 04 29 21 45 00 1 4233.758
2022 04 29 21 30 00 1 4233.701
2022 04 29 21 15 00 1 4233.651
2022 04 29 21 00 00 1 4233.606
2022 04 29 20 45 00 1 4233.557
2022 04 29 20 30 00 1 4233.519
2022 04 29 20 15 00 1 4233.480
2022 04 29 20 00 00 1 4233.447
2022 04 29 19 45 00 1 4233.425
2022 04 29 19 30 00 1 4233.402
2022 04 29 19 15 00 1 4233.390
2022 04 29 19 00 00 1 4233.384
2022 04 29 18 45 00 1 4233.388
2022 04 29 18 30 00 1 4233.399
2022 04 29 18 15 00 1 4233.415
2022 04 29 18 00 00 1 4233.438
2022 04 29 17 45 00 1 4233.468
2022 04 29 17 30 00 1 4233.502
2022 04 29 17 15 00 1 4233.540
2022 04 29 17 00 00 1 4233.584
2022 04 29 16 45 00 1 4233.635
2022 04 29 16 30 00 1 4233.686
2022 04 29 16 15 00 1 4233.740
2022 04 29 16 00 00 1 4233.795
2022 04 29 15 45 00 1 4233.852
2022 04 29 15 30 00 1 4233.911
2022 04 29 15 15 00 1 4233.963
2022 04 29 15 00 00 1 4234.015
2022 04 29 14 45 00 1 4234.066
2022 04 29 14 30 00 1 4234.112
2022 04 29 14 15 00 1 4234.152
2022 04 29 14 00 00 1 4234.189
2022 04 29 13 45 00 1 4234.221
2022 04 29 13 30 00 1 4234.242
2022 04 29 13 15 00 1 4234.259
2022 04 29 13 00 00 1 4234.270
2022 04 29 12 45 00 1 4234.273
2022 04 29 12 30 00 1 4234.268
2022 04 29 12 15 00 1 4234.258
2022 04 29 12 00 00 1 4234.236
2022 04 29 11 45 00 1 4234.217
2022 04 29 11 30 00 1 4234.183
2022 04 29 11 15 00 1 4234.148
2022 04 29 11 00 00 1 4234.105
2022 04 29 10 45 00 1 4234.062
2022 04 29 10 30 00 1 4234.010
2022 04 29 10 15 00 1 4233.952
2022 04 29 10 00 00 1 4233.895
2022 04 29 09 45 00 1 4233.830
2022 04 29 09 30 00 1 4233.766
2022 04 29 09 15 00 1 4233.703
2022 04 29 09 00 00 1 4233.642
2022 04 29 08 45 00 1 4233.585
2022 04 29 08 30 00 1 4233.528
2022 04 29 08 15 00 1 4233.475
2022 04 29 08 00 00 1 4233.431
2022 04 29 07 45 00 1 4233.386
2022 04 29 07 30 00 1 4233.350
2022 04 29 07 15 00 1 4233.320
2022 04 29 07 00 00 1 4233.302
2022 04 29 06 45 00 1 4233.290
2022 04 29 06 30 00 1 4233.280
2022 04 29 06 15 00 1 4233.281
2022 04 29 06 00 00 1 4233.290
2022 04 29 05 45 00 1 4233.303
2022 04 29 05 30 00 1 4233.325
2022 04 29 05 15 00 1 4233.354
2022 04 29 05 00 00 1 4233.390
2022 04 29 04 45 00 1 4233.434
2022 04 29 04 30 00 1 4233.481
2022 04 29 04 15 00 1 4233.535
2022 04 29 04 00 00 1 4233.590
2022 04 29 03 45 00 1 4233.650
2022 04 29 03 30 00 1 4233.712
2022 04 29 03 15 00 1 4233.772
2022 04 29 03 00 00 1 4233.836
2022 04 29 02 45 00 1 4233.895
2022 04 29 02 30 00 1 4233.952
2022 04 29 02 15 00 1 4234.005
2022 04 29 02 00 00 1 4234.057
2022 04 29 01 45 00 1 4234.104
2022 04 29 01 30 00 1 4234.144
2022 04 29 01 15 00 1 4234.177
2022 04 29 01 00 00 1 4234.205
2022 04 29 00 45 00 1 4234.226
2022 04 29 00 30 00 1 4234.241
2022 04 29 00 15 00 1 4234.248
2022 04 29 00 00 00 1 4234.248
2022 04 28 23 45 00 1 4234.238
2022 04 28 23 30 00 1 4234.223
2022 04 28 23 15 00 1 4234.202
2022 04 28 23 00 00 1 4234.174
2022 04 28 22 45 00 1 4234.141
2022 04 28 22 30 00 1 4234.102
2022 04 28 22 15 00 1 4234.057
2022 04 28 22 00 00 1 4234.010
2022 04 28 21 45 00 1 4233.954
2022 04 28 21 30 00 1 4233.906
2022 04 28 21 15 00 1 4233.850
2022 04 28 21 00 00 1 4233.797
2022 04 28 20 45 00 1 4233.743
2022 04 28 20 30 00 1 4233.689
2022 04 28 20 15 00 1 4233.641
2022 04 28 20 00 00 1 4233.595
2022 04 28 19 45 00 1 4233.553
2022 04 28 19 30 00 1 4233.516
2022 04 28 19 15 00 1 4233.486
2022 04 28 19 00 00 1 4233.461
2022 04 28 18 45 00 1 4233.441
2022 04 28 18 30 00 1 4233.428
2022 04 28 18 15 00 1 4233.422
2022 04 28 18 00 00 1 4233.420
2022 04 28 17 45 00 1 4233.427
2022 04 28 17 30 00 1 4233.439
2022 04 28 17 15 00 1 4233.462
2022 04 28 17 00 00 1 4233.486
2022 04 28 16 45 00 1 4233.518
2022 04 28 16 30 00 1 4233.556
2022 04 28 16 15 00 1 4233.593
2022 04 28 16 00 00 1 4233.641
2022 04 28 15 45 00 1 4233.683
2022 04 28 15 30 00 1 4233.733
2022 04 28 15 15 00 1 4233.783
2022 04 28 15 00 00 1 4233.835
2022 04 28 14 45 00 1 4233.889
2022 04 28 14 30 00 1 4233.936
2022 04 28 14 15 00 1 4233.980
2022 04 28 14 00 00 1 4234.022
2022 04 28 13 45 00 1 4234.059
2022 04 28 13 30 00 1 4234.093
2022 04 28 13 15 00 1 4234.126
2022 04 28 13 00 00 1 4234.148
2022 04 28 12 45 00 1 4234.169
2022 04 28 12 30 00 1 4234.185
2022 04 28 12 15 00 1 4234.192
2022 04 28 12 00 00 1 4234.194
2022 04 28 11 45 00 1 4234.185
2022 04 28 11 30 00 1 4234.175
2022 04 28 11 15 00 1 4234.156
2022 04 28 11 00 00 1 4234.130
2022 04 28 10 45 00 1 4234.100
2022 04 28 10 30 00 1 4234.060
2022 04 28 10 15 00 1 4234.015
2022 04 28 10 00 00 1 4233.969
2022 04 28 09 45 00 1 4233.918
2022 04 28 09 30 00 1 4233.864
2022 04 28 09 15 00 1 4233.809
2022 04 28 09 00 00 1 4233.755
2022 04 28 08 45 00 1 4233.701
2022 04 28 08 30 00 1 4233.643
2022 04 28 08 15 00 1 4233.589
2022 04 28 08 00 00 1 4233.537
2022 04 28 07 45 00 1 4233.491
2022 04 28 07 30 00 1 4233.448
2022 04 28 07 15 00 1 4233.404
2022 04 28 07 00 00 1 4233.369
2022 04 28 06 45 00 1 4233.342
2022 04 28 06 30 00 1 4233.322
2022 04 28 06 15 00 1 4233.309
2022 04 28 06 00 00 1 4233.301
2022 04 28 05 45 00 1 4233.300
2022 04 28 05 30 00 1 4233.304
2022 04 28 05 15 00 1 4233.317
2022 04 28 05 00 00 1 4233.340
2022 04 28 04 45 00 1 4233.373
2022 04 28 04 30 00 1 4233.400
2022 04 28 04 15 00 1 4233.440
2022 04 28 04 00 00 1 4233.486
2022 04 28 03 45 00 1 4233.533
2022 04 28 03 30 00 1 4233.586
2022 04 28 03 15 00 1 4233.643
2022 04 28 03 00 00 1 4233.702
2022 04 28 02 45 00 1 4233.762
2022 04 28 02 30 00 1 4233.821
2022 04 28 02 15 00 1 4233.883
2022 04 28 02 00 00 1 4233.944
2022 04 28 01 45 00 1 4234.002
2022 04 28 01 30 00 1 4234.057
2022 04 28 01 15 00 1 4234.105
2022 04 28 01 00 00 1 4234.149
2022 04 28 00 45 00 1 4234.186
2022 04 28 00 30 00 1 4234.215
2022 04 28 00 15 00 1 4234.242
2022 04 28 00 00 00 1 4234.262
2022 04 27 23 45 00 1 4234.276
2022 04 27 23 30 00 1 4234.282
2022 04 27 23 15 00 1 4234.277
2022 04 27 23 00 00 1 4234.273
2022 04 27 22 45 00 1 4234.256
2022 04 27 22 30 00 1 4234.233
2022 04 27 22 15 00 1 4234.209
2022 04 27 22 00 00 1 4234.180
2022 04 27 21 45 00 1 4234.142
2022 04 27 21 30 00 1 4234.098
2022 04 27 21 15 00 1 4234.054
2022 04 27 21 00 00 1 4234.008
2022 04 27 20 45 00 1 4233.958
2022 04 27 20 30 00 1 4233.904
2022 04 27 20 15 00 1 4233.851
2022 04 27 20 00 00 1 4233.801
2022 04 27 19 45 00 1 4233.755
2022 04 27 19 30 00 1 4233.707
2022 04 27 19 15 00 1 4233.661
2022 04 27 19 00 00 1 4233.624
2022 04 27 18 45 00 1 4233.584
2022 04 27 18 30 00 1 4233.552
2022 04 27 18 15 00 1 4233.524
2022 04 27 18 00 00 1 4233.507
2022 04 27 17 45 00 1 4233.495
2022 04 27 17 30 00 1 4233.482
2022 04 27 17 15 00 1 4233.484
2022 04 27 17 00 00 1 4233.489
2022 04 27 16 45 00 1 4233.497
2022 04 27 16 30 00 1 4233.513
2022 04 27 16 15 00 1 4233.532
2022 04 27 16 00 00 1 4233.561
2022 04 27 15 45 00 1 4233.595
2022 04 27 15 30 00 1 4233.625
2022 04 27 15 15 00 1 4233.661
2022 04 27 15 00 00 1 4233.700
2022 04 27 14 45 00 1 4233.742
2022 04 27 14 30 00 1 4233.778
2022 04 27 14 15 00 1 4233.822
2022 04 27 14 00 00 1 4233.863
2022 04 27 13 45 00 1 4233.902
2022 04 27 13 30 00 1 4233.938
2022 04 27 13 15 00 1 4233.969
2022 04 27 13 00 00 1 4234.000
2022 04 27 12 45 00 1 4234.028
2022 04 27 12 30 00 1 4234.052
2022 04 27 12 15 00 1 4234.069
2022 04 27 12 00 00 1 4234.088
2022 04 27 11 45 00 1 4234.098
2022 04 27 11 30 00 1 4234.096
2022 04 27 11 15 00 1 4234.092
2022 04 27 11 00 00 1 4234.088
2022 04 27 10 45 00 1 4234.076
2022 04 27 10 30 00 1 4234.052
2022 04 27 10 15 00 1 4234.028
2022 04 27 10 00 00 1 4234.002
2022 04 27 09 45 00 1 4233.970
2022 04 27 09 30 00 1 4233.933
2022 04 27 09 15 00 1 4233.894
2022 04 27 09 00 00 1 4233.852
2022 04 27 08 45 00 1 4233.808
2022 04 27 08 30 00 1 4233.761
2022 04 27 08 15 00 1 4233.715
2022 04 27 08 00 00 1 4233.667
2022 04 27 07 45 00 1 4233.613
2022 04 27 07 30 00 1 4233.568
2022 04 27 07 15 00 1 4233.527
2022 04 27 07 00 00 1 4233.487
2022 04 27 06 45 00 1 4233.446
2022 04 27 06 30 00 1 4233.411
2022 04 27 06 15 00 1 4233.383
2022 04 27 06 00 00 1 4233.361
2022 04 27 05 45 00 1 4233.348
2022 04 27 05 30 00 1 4233.336
2022 04 27 05 15 00 1 4233.331
2022 04 27 05 00 00 1 4233.338
2022 04 27 04 45 00 1 4233.346
2022 04 27 04 30 00 1 4233.363
2022 04 27 04 15 00 1 4233.385
2022 04 27 04 00 00 1 4233.412
2022 04 27 03 45 00 1 4233.444
2022 04 27 03 30 00 1 4233.483
2022 04 27 03 15 00 1 4233.527
2022 04 27 03 00 00 1 4233.579
2022 04 27 02 45 00 1 4233.629
2022 04 27 02 30 00 1 4233.678
2022 04 27 02 15 00 1 4233.733
2022 04 27 02 00 00 1 4233.794
2022 04 27 01 45 00 1 4233.850
2022 04 27 01 30 00 1 4233.908
2022 04 27 01 15 00 1 4233.963
2022 04 27 01 00 00 1 4234.016
2022 04 27 00 45 00 1 4234.065
2022 04 27 00 30 00 1 4234.108
2022 04 27 00 15 00 1 4234.149
2022 04 27 00 00 00 1 4234.180
2022 04 26 23 45 00 1 4234.212
2022 04 26 23 30 00 1 4234.239
2022 04 26 23 15 00 1 4234.257
2022 04 26 23 00 00 1 4234.269
2022 04 26 22 45 00 1 4234.275
2022 04 26 22 30 00 1 4234.277
2022 04 26 22 15 00 1 4234.270
2022 04 26 22 00 00 1 4234.260
2022 04 26 21 45 00 1 4234.244
2022 04 26 21 30 00 1 4234.222
