#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 05 18 00 00 1 3148.531
2022 05 05 17 45 00 1 3148.538
2022 05 05 17 30 00 1 3148.546
2022 05 05 17 15 00 1 3148.552
2022 05 05 17 00 00 1 3148.558
2022 05 05 16 45 00 1 3148.561
2022 05 05 16 30 00 1 3148.564
2022 05 05 16 15 00 1 3148.564
2022 05 05 16 00 00 1 3148.563
2022 05 05 15 45 00 1 3148.562
2022 05 05 15 30 00 1 3148.560
2022 05 05 15 15 00 1 3148.555
2022 05 05 15 00 00 1 3148.550
2022 05 05 14 45 00 1 3148.544
2022 05 05 14 30 00 1 3148.537
2022 05 05 14 15 00 1 3148.529
2022 05 05 14 00 00 1 3148.519
2022 05 05 13 45 00 1 3148.506
2022 05 05 13 30 00 1 3148.494
2022 05 05 13 15 00 1 3148.482
2022 05 05 13 00 00 1 3148.469
2022 05 05 12 45 00 1 3148.456
2022 05 05 12 30 00 1 3148.439
2022 05 05 12 15 00 1 3148.423
2022 05 05 12 00 00 1 3148.408
2022 05 05 11 45 00 1 3148.391
2022 05 05 11 30 00 1 3148.374
2022 05 05 11 15 00 1 3148.357
2022 05 05 11 00 00 1 3148.340
2022 05 05 10 45 00 1 3148.322
2022 05 05 10 30 00 1 3148.303
2022 05 05 10 15 00 1 3148.284
2022 05 05 10 00 00 1 3148.266
2022 05 05 09 45 00 1 3148.247
2022 05 05 09 30 00 1 3148.228
2022 05 05 09 15 00 1 3148.211
2022 05 05 09 00 00 1 3148.194
2022 05 05 08 45 00 1 3148.176
2022 05 05 08 30 00 1 3148.159
2022 05 05 08 15 00 1 3148.143
2022 05 05 08 00 00 1 3148.128
2022 05 05 07 45 00 1 3148.114
2022 05 05 07 30 00 1 3148.102
2022 05 05 07 15 00 1 3148.087
2022 05 05 07 00 00 1 3148.075
2022 05 05 06 45 00 1 3148.063
2022 05 05 06 30 00 1 3148.053
2022 05 05 06 15 00 1 3148.046
2022 05 05 06 00 00 1 3148.039
2022 05 05 05 45 00 1 3148.031
2022 05 05 05 30 00 1 3148.023
2022 05 05 05 15 00 1 3148.018
2022 05 05 05 00 00 1 3148.012
2022 05 05 04 45 00 1 3148.008
2022 05 05 04 30 00 1 3148.005
2022 05 05 04 15 00 1 3148.002
2022 05 05 04 00 00 1 3148.001
2022 05 05 03 45 00 1 3148.000
2022 05 05 03 30 00 1 3148.001
2022 05 05 03 15 00 1 3148.002
2022 05 05 03 00 00 1 3148.004
2022 05 05 02 45 00 1 3148.007
2022 05 05 02 30 00 1 3148.010
2022 05 05 02 15 00 1 3148.015
2022 05 05 02 00 00 1 3148.021
2022 05 05 01 45 00 1 3148.027
2022 05 05 01 30 00 1 3148.035
2022 05 05 01 15 00 1 3148.043
2022 05 05 01 00 00 1 3148.054
2022 05 05 00 45 00 1 3148.063
2022 05 05 00 30 00 1 3148.073
2022 05 05 00 15 00 1 3148.086
2022 05 05 00 00 00 1 3148.099
2022 05 04 23 45 00 1 3148.112
2022 05 04 23 30 00 1 3148.127
2022 05 04 23 15 00 1 3148.144
2022 05 04 23 00 00 1 3148.161
2022 05 04 22 45 00 1 3148.177
2022 05 04 22 30 00 1 3148.193
2022 05 04 22 15 00 1 3148.210
