#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 03 12 00 00 1 4433.924
2022 05 03 11 45 00 1 4433.903
2022 05 03 11 30 00 1 4433.880
2022 05 03 11 15 00 1 4433.854
2022 05 03 11 00 00 1 4433.825
2022 05 03 10 45 00 1 4433.797
2022 05 03 10 30 00 1 4433.767
2022 05 03 10 15 00 1 4433.737
2022 05 03 10 00 00 1 4433.703
2022 05 03 09 45 00 1 4433.666
2022 05 03 09 30 00 1 4433.628
2022 05 03 09 15 00 1 4433.599
2022 05 03 09 00 00 1 4433.568
2022 05 03 08 45 00 1 4433.540
2022 05 03 08 30 00 1 4433.508
2022 05 03 08 15 00 1 4433.477
2022 05 03 08 00 00 1 4433.447
2022 05 03 07 45 00 1 4433.422
2022 05 03 07 30 00 1 4433.399
2022 05 03 07 15 00 1 4433.374
2022 05 03 07 00 00 1 4433.356
2022 05 03 06 45 00 1 4433.346
2022 05 03 06 30 00 1 4433.337
2022 05 03 06 15 00 1 4433.330
2022 05 03 06 00 00 1 4433.321
2022 05 03 05 45 00 1 4433.318
2022 05 03 05 30 00 1 4433.319
2022 05 03 05 15 00 1 4433.323
2022 05 03 05 00 00 1 4433.326
2022 05 03 04 45 00 1 4433.338
2022 05 03 04 30 00 1 4433.354
2022 05 03 04 15 00 1 4433.369
2022 05 03 04 00 00 1 4433.388
2022 05 03 03 45 00 1 4433.407
2022 05 03 03 30 00 1 4433.432
2022 05 03 03 15 00 1 4433.457
2022 05 03 03 00 00 1 4433.486
2022 05 03 02 45 00 1 4433.515
2022 05 03 02 30 00 1 4433.546
2022 05 03 02 15 00 1 4433.579
2022 05 03 02 00 00 1 4433.611
2022 05 03 01 45 00 1 4433.643
2022 05 03 01 30 00 1 4433.672
2022 05 03 01 15 00 1 4433.703
2022 05 03 01 00 00 1 4433.732
2022 05 03 00 45 00 1 4433.760
2022 05 03 00 30 00 1 4433.789
2022 05 03 00 15 00 1 4433.814
2022 05 03 00 00 00 1 4433.839
2022 05 02 23 45 00 1 4433.865
2022 05 02 23 30 00 1 4433.881
2022 05 02 23 15 00 1 4433.902
2022 05 02 23 00 00 1 4433.916
2022 05 02 22 45 00 1 4433.930
2022 05 02 22 30 00 1 4433.940
2022 05 02 22 15 00 1 4433.943
2022 05 02 22 00 00 1 4433.948
2022 05 02 21 45 00 1 4433.951
2022 05 02 21 30 00 1 4433.954
2022 05 02 21 15 00 1 4433.949
2022 05 02 21 00 00 1 4433.943
2022 05 02 20 45 00 1 4433.942
2022 05 02 20 30 00 1 4433.938
2022 05 02 20 15 00 1 4433.933
2022 05 02 20 00 00 1 4433.927
2022 05 02 19 45 00 1 4433.924
2022 05 02 19 30 00 1 4433.921
2022 05 02 19 15 00 1 4433.916
2022 05 02 19 00 00 1 4433.914
2022 05 02 18 45 00 1 4433.915
2022 05 02 18 30 00 1 4433.912
2022 05 02 18 15 00 1 4433.911
2022 05 02 18 00 00 1 4433.914
2022 05 02 17 45 00 1 4433.914
2022 05 02 17 30 00 1 4433.914
2022 05 02 17 15 00 1 4433.919
2022 05 02 17 00 00 1 4433.921
2022 05 02 16 45 00 1 4433.928
2022 05 02 16 30 00 1 4433.932
2022 05 02 16 15 00 1 4433.941
2022 05 02 16 00 00 1 4433.945
2022 05 02 15 45 00 1 4433.952
2022 05 02 15 30 00 1 4433.958
2022 05 02 15 15 00 1 4433.965
2022 05 02 15 00 00 1 4433.970
2022 05 02 14 45 00 1 4433.978
2022 05 02 14 30 00 1 4433.986
2022 05 02 14 15 00 1 4433.989
2022 05 02 14 00 00 1 4433.993
2022 05 02 13 45 00 1 4433.993
2022 05 02 13 30 00 1 4433.991
2022 05 02 13 15 00 1 4433.991
2022 05 02 13 00 00 1 4433.986
2022 05 02 12 45 00 1 4433.980
2022 05 02 12 30 00 1 4433.973
2022 05 02 12 15 00 1 4433.961
2022 05 02 12 00 00 1 4433.950
2022 05 02 11 45 00 1 4433.932
2022 05 02 11 30 00 1 4433.917
2022 05 02 11 15 00 1 4433.898
2022 05 02 11 00 00 1 4433.877
2022 05 02 10 45 00 1 4433.854
2022 05 02 10 30 00 1 4433.829
2022 05 02 10 15 00 1 4433.802
2022 05 02 10 00 00 1 4433.773
2022 05 02 09 45 00 1 4433.746
2022 05 02 09 30 00 1 4433.715
2022 05 02 09 15 00 1 4433.681
2022 05 02 09 00 00 1 4433.652
2022 05 02 08 45 00 1 4433.621
2022 05 02 08 30 00 1 4433.588
2022 05 02 08 15 00 1 4433.553
2022 05 02 08 00 00 1 4433.524
2022 05 02 07 45 00 1 4433.497
2022 05 02 07 30 00 1 4433.471
2022 05 02 07 15 00 1 4433.445
2022 05 02 07 00 00 1 4433.421
2022 05 02 06 45 00 1 4433.397
2022 05 02 06 30 00 1 4433.376
2022 05 02 06 15 00 1 4433.361
2022 05 02 06 00 00 1 4433.354
2022 05 02 05 45 00 1 4433.345
2022 05 02 05 30 00 1 4433.341
2022 05 02 05 15 00 1 4433.337
2022 05 02 05 00 00 1 4433.338
2022 05 02 04 45 00 1 4433.344
2022 05 02 04 30 00 1 4433.349
2022 05 02 04 15 00 1 4433.358
2022 05 02 04 00 00 1 4433.368
2022 05 02 03 45 00 1 4433.383
2022 05 02 03 30 00 1 4433.404
2022 05 02 03 15 00 1 4433.424
2022 05 02 03 00 00 1 4433.448
2022 05 02 02 45 00 1 4433.475
2022 05 02 02 30 00 1 4433.503
2022 05 02 02 15 00 1 4433.528
2022 05 02 02 00 00 1 4433.559
2022 05 02 01 45 00 1 4433.588
2022 05 02 01 30 00 1 4433.616
2022 05 02 01 15 00 1 4433.649
2022 05 02 01 00 00 1 4433.681
2022 05 02 00 45 00 1 4433.712
2022 05 02 00 30 00 1 4433.741
2022 05 02 00 15 00 1 4433.770
2022 05 02 00 00 00 1 4433.798
2022 05 01 23 45 00 1 4433.825
2022 05 01 23 30 00 1 4433.848
2022 05 01 23 15 00 1 4433.871
2022 05 01 23 00 00 1 4433.890
2022 05 01 22 45 00 1 4433.906
2022 05 01 22 30 00 1 4433.921
2022 05 01 22 15 00 1 4433.932
2022 05 01 22 00 00 1 4433.937
2022 05 01 21 45 00 1 4433.944
2022 05 01 21 30 00 1 4433.950
2022 05 01 21 15 00 1 4433.949
2022 05 01 21 00 00 1 4433.947
2022 05 01 20 45 00 1 4433.946
2022 05 01 20 30 00 1 4433.942
2022 05 01 20 15 00 1 4433.934
2022 05 01 20 00 00 1 4433.928
2022 05 01 19 45 00 1 4433.920
2022 05 01 19 30 00 1 4433.915
2022 05 01 19 15 00 1 4433.908
2022 05 01 19 00 00 1 4433.899
2022 05 01 18 45 00 1 4433.894
2022 05 01 18 30 00 1 4433.885
2022 05 01 18 15 00 1 4433.876
2022 05 01 18 00 00 1 4433.870
2022 05 01 17 45 00 1 4433.865
2022 05 01 17 30 00 1 4433.862
2022 05 01 17 15 00 1 4433.861
2022 05 01 17 00 00 1 4433.861
2022 05 01 16 45 00 1 4433.863
2022 05 01 16 30 00 1 4433.867
2022 05 01 16 15 00 1 4433.869
2022 05 01 16 00 00 1 4433.875
2022 05 01 15 45 00 1 4433.881
2022 05 01 15 30 00 1 4433.887
2022 05 01 15 15 00 1 4433.894
2022 05 01 15 00 00 1 4433.900
2022 05 01 14 45 00 1 4433.908
2022 05 01 14 30 00 1 4433.916
2022 05 01 14 15 00 1 4433.921
2022 05 01 14 00 00 1 4433.925
2022 05 01 13 45 00 1 4433.930
2022 05 01 13 30 00 1 4433.935
2022 05 01 13 15 00 1 4433.938
2022 05 01 13 00 00 1 4433.941
2022 05 01 12 45 00 1 4433.941
2022 05 01 12 30 00 1 4433.942
2022 05 01 12 15 00 1 4433.940
2022 05 01 12 00 00 1 4433.932
2022 05 01 11 45 00 1 4433.928
