#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 03 12 00 00 1 2608.241
2022 05 03 11 45 00 1 2608.203
2022 05 03 11 30 00 1 2608.161
2022 05 03 11 15 00 1 2608.116
2022 05 03 11 00 00 1 2608.066
2022 05 03 10 45 00 1 2608.017
2022 05 03 10 30 00 1 2607.968
2022 05 03 10 15 00 1 2607.919
2022 05 03 10 00 00 1 2607.873
2022 05 03 09 45 00 1 2607.826
2022 05 03 09 30 00 1 2607.788
2022 05 03 09 15 00 1 2607.753
2022 05 03 09 00 00 1 2607.722
2022 05 03 08 45 00 1 2607.697
2022 05 03 08 30 00 1 2607.679
2022 05 03 08 15 00 1 2607.670
2022 05 03 08 00 00 1 2607.667
2022 05 03 07 45 00 1 2607.669
2022 05 03 07 30 00 1 2607.677
2022 05 03 07 15 00 1 2607.689
2022 05 03 07 00 00 1 2607.707
2022 05 03 06 45 00 1 2607.734
2022 05 03 06 30 00 1 2607.766
2022 05 03 06 15 00 1 2607.804
2022 05 03 06 00 00 1 2607.844
2022 05 03 05 45 00 1 2607.894
2022 05 03 05 30 00 1 2607.947
2022 05 03 05 15 00 1 2608.006
2022 05 03 05 00 00 1 2608.063
2022 05 03 04 45 00 1 2608.123
2022 05 03 04 30 00 1 2608.185
2022 05 03 04 15 00 1 2608.245
2022 05 03 04 00 00 1 2608.304
2022 05 03 03 45 00 1 2608.362
2022 05 03 03 30 00 1 2608.416
2022 05 03 03 15 00 1 2608.469
2022 05 03 03 00 00 1 2608.516
2022 05 03 02 45 00 1 2608.557
2022 05 03 02 30 00 1 2608.596
2022 05 03 02 15 00 1 2608.625
2022 05 03 02 00 00 1 2608.648
2022 05 03 01 45 00 1 2608.665
2022 05 03 01 30 00 1 2608.674
2022 05 03 01 15 00 1 2608.676
2022 05 03 01 00 00 1 2608.668
2022 05 03 00 45 00 1 2608.655
2022 05 03 00 30 00 1 2608.638
2022 05 03 00 15 00 1 2608.611
2022 05 03 00 00 00 1 2608.579
2022 05 02 23 45 00 1 2608.538
2022 05 02 23 30 00 1 2608.490
2022 05 02 23 15 00 1 2608.439
2022 05 02 23 00 00 1 2608.384
2022 05 02 22 45 00 1 2608.327
2022 05 02 22 30 00 1 2608.269
2022 05 02 22 15 00 1 2608.208
2022 05 02 22 00 00 1 2608.148
2022 05 02 21 45 00 1 2608.088
2022 05 02 21 30 00 1 2608.029
2022 05 02 21 15 00 1 2607.972
2022 05 02 21 00 00 1 2607.920
2022 05 02 20 45 00 1 2607.873
2022 05 02 20 30 00 1 2607.830
2022 05 02 20 15 00 1 2607.793
