#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 01 12 00 00 1 2486.010
2022 05 01 11 45 00 1 2485.915
2022 05 01 11 30 00 1 2485.828
2022 05 01 11 15 00 1 2485.747
2022 05 01 11 00 00 1 2485.678
2022 05 01 10 45 00 1 2485.623
2022 05 01 10 30 00 1 2485.582
2022 05 01 10 15 00 1 2485.556
2022 05 01 09 59 00 2 2485.538
2022 05 01 09 58 00 2 2485.537
2022 05 01 09 57 00 2 2485.536
2022 05 01 09 56 00 2 2485.536
2022 05 01 09 55 00 2 2485.536
2022 05 01 09 54 00 2 2485.536
2022 05 01 09 53 00 2 2485.535
2022 05 01 09 52 00 2 2485.536
2022 05 01 09 51 00 2 2485.536
2022 05 01 09 50 00 2 2485.536
2022 05 01 09 49 00 2 2485.537
2022 05 01 09 48 00 2 2485.537
2022 05 01 09 47 00 2 2485.537
2022 05 01 09 46 00 2 2485.538
2022 05 01 09 45 00 2 2485.538
2022 05 01 09 44 00 2 2485.539
2022 05 01 09 43 00 2 2485.541
2022 05 01 09 42 00 2 2485.541
2022 05 01 09 41 00 2 2485.542
2022 05 01 09 40 00 2 2485.543
2022 05 01 09 39 00 2 2485.544
2022 05 01 09 38 00 2 2485.544
2022 05 01 09 37 00 2 2485.545
2022 05 01 09 36 00 2 2485.547
2022 05 01 09 35 00 2 2485.548
2022 05 01 09 34 00 2 2485.550
2022 05 01 09 33 00 2 2485.552
2022 05 01 09 32 00 2 2485.553
2022 05 01 09 31 00 2 2485.554
2022 05 01 09 30 00 2 2485.556
2022 05 01 09 29 00 2 2485.557
2022 05 01 09 28 00 2 2485.558
2022 05 01 09 27 00 2 2485.560
2022 05 01 09 26 00 2 2485.561
2022 05 01 09 25 00 2 2485.563
2022 05 01 09 24 00 2 2485.564
2022 05 01 09 23 00 2 2485.566
2022 05 01 09 22 00 2 2485.568
2022 05 01 09 21 00 2 2485.570
2022 05 01 09 20 00 2 2485.572
2022 05 01 09 19 00 2 2485.574
2022 05 01 09 18 00 2 2485.576
2022 05 01 09 17 00 2 2485.578
2022 05 01 09 16 00 2 2485.581
2022 05 01 09 15 00 2 2485.583
2022 05 01 09 14 00 2 2485.586
2022 05 01 09 13 00 2 2485.588
2022 05 01 09 12 00 2 2485.591
2022 05 01 09 11 00 2 2485.593
2022 05 01 09 10 00 2 2485.594
2022 05 01 09 09 00 2 2485.594
2022 05 01 09 08 00 2 2485.595
2022 05 01 09 07 00 2 2485.602
2022 05 01 09 06 00 2 2485.603
2022 05 01 09 05 00 2 2485.605
2022 05 01 09 04 00 2 2485.611
2022 05 01 09 03 00 2 2485.613
2022 05 01 09 02 00 2 2485.615
2022 05 01 09 01 00 2 2485.623
2022 05 01 09 00 00 2 2485.626
2022 05 01 08 59 00 2 2485.630
2022 05 01 08 58 00 2 2485.632
2022 05 01 08 57 00 2 2485.636
2022 05 01 08 56 00 2 2485.639
2022 05 01 08 55 00 2 2485.642
2022 05 01 08 54 00 2 2485.646
2022 05 01 08 53 00 2 2485.649
2022 05 01 08 52 00 2 2485.653
2022 05 01 08 51 00 2 2485.657
2022 05 01 08 50 00 2 2485.661
2022 05 01 08 49 00 2 2485.664
2022 05 01 08 48 00 2 2485.668
2022 05 01 08 47 00 2 2485.672
2022 05 01 08 46 00 2 2485.676
2022 05 01 08 45 00 2 2485.679
2022 05 01 08 44 00 2 2485.684
2022 05 01 08 43 00 2 2485.688
2022 05 01 08 42 00 2 2485.692
2022 05 01 08 41 00 2 2485.696
2022 05 01 08 40 00 2 2485.701
2022 05 01 08 39 00 2 2485.704
2022 05 01 08 38 00 2 2485.708
2022 05 01 08 37 00 2 2485.713
2022 05 01 08 36 00 2 2485.717
2022 05 01 08 35 00 2 2485.721
2022 05 01 08 34 00 2 2485.726
2022 05 01 08 33 00 2 2485.731
2022 05 01 08 32 00 2 2485.736
2022 05 01 08 31 00 2 2485.741
2022 05 01 08 30 00 2 2485.745
2022 05 01 08 29 00 2 2485.750
2022 05 01 08 28 00 2 2485.755
2022 05 01 08 27 00 2 2485.759
2022 05 01 08 26 00 2 2485.764
2022 05 01 08 25 00 2 2485.769
2022 05 01 08 24 00 2 2485.775
2022 05 01 08 23 00 2 2485.780
2022 05 01 08 22 00 2 2485.786
2022 05 01 08 21 00 2 2485.791
2022 05 01 08 20 00 2 2485.796
2022 05 01 08 19 00 2 2485.802
2022 05 01 08 18 00 2 2485.808
2022 05 01 08 17 00 2 2485.812
2022 05 01 08 16 00 2 2485.818
