#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 05 18 00 00 1 4195.838
2022 05 05 17 45 00 1 4195.904
2022 05 05 17 30 00 1 4195.984
2022 05 05 17 15 00 1 4196.076
2022 05 05 17 00 00 1 4196.179
2022 05 05 16 45 00 1 4196.291
2022 05 05 16 30 00 1 4196.410
2022 05 05 16 15 00 1 4196.539
2022 05 05 16 00 00 1 4196.670
2022 05 05 15 45 00 1 4196.804
2022 05 05 15 30 00 1 4196.941
2022 05 05 15 15 00 1 4197.079
2022 05 05 15 00 00 1 4197.211
2022 05 05 14 45 00 1 4197.343
2022 05 05 14 30 00 1 4197.471
2022 05 05 14 15 00 1 4197.588
2022 05 05 14 00 00 1 4197.698
2022 05 05 13 45 00 1 4197.801
2022 05 05 13 30 00 1 4197.894
2022 05 05 13 15 00 1 4197.974
2022 05 05 13 00 00 1 4198.042
2022 05 05 12 45 00 1 4198.092
2022 05 05 12 30 00 1 4198.134
2022 05 05 12 15 00 1 4198.161
2022 05 05 12 00 00 1 4198.174
2022 05 05 11 45 00 1 4198.175
2022 05 05 11 30 00 1 4198.166
2022 05 05 11 15 00 1 4198.142
2022 05 05 11 00 00 1 4198.107
2022 05 05 10 45 00 1 4198.061
2022 05 05 10 30 00 1 4198.006
2022 05 05 10 15 00 1 4197.940
2022 05 05 10 00 00 1 4197.866
2022 05 05 09 45 00 1 4197.790
2022 05 05 09 30 00 1 4197.706
2022 05 05 09 15 00 1 4197.619
2022 05 05 09 00 00 1 4197.533
2022 05 05 08 45 00 1 4197.446
2022 05 05 08 30 00 1 4197.361
2022 05 05 08 15 00 1 4197.276
2022 05 05 08 00 00 1 4197.200
2022 05 05 07 45 00 1 4197.130
2022 05 05 07 30 00 1 4197.067
2022 05 05 07 15 00 1 4197.012
2022 05 05 07 00 00 1 4196.966
2022 05 05 06 45 00 1 4196.928
2022 05 05 06 30 00 1 4196.902
2022 05 05 06 15 00 1 4196.887
2022 05 05 06 00 00 1 4196.881
2022 05 05 05 45 00 1 4196.884
2022 05 05 05 30 00 1 4196.896
2022 05 05 05 15 00 1 4196.919
2022 05 05 05 00 00 1 4196.953
2022 05 05 04 45 00 1 4196.993
2022 05 05 04 30 00 1 4197.041
2022 05 05 04 15 00 1 4197.095
2022 05 05 04 00 00 1 4197.152
2022 05 05 03 45 00 1 4197.210
2022 05 05 03 30 00 1 4197.271
2022 05 05 03 15 00 1 4197.331
2022 05 05 03 00 00 1 4197.392
2022 05 05 02 45 00 1 4197.447
2022 05 05 02 30 00 1 4197.501
2022 05 05 02 15 00 1 4197.547
2022 05 05 02 00 00 1 4197.587
2022 05 05 01 45 00 1 4197.619
2022 05 05 01 30 00 1 4197.643
2022 05 05 01 15 00 1 4197.656
2022 05 05 01 00 00 1 4197.659
2022 05 05 00 45 00 1 4197.650
2022 05 05 00 30 00 1 4197.627
2022 05 05 00 15 00 1 4197.593
2022 05 05 00 00 00 1 4197.547
2022 05 04 23 45 00 1 4197.488
2022 05 04 23 30 00 1 4197.418
2022 05 04 23 15 00 1 4197.339
2022 05 04 23 00 00 1 4197.248
2022 05 04 22 45 00 1 4197.150
2022 05 04 22 30 00 1 4197.040
2022 05 04 22 15 00 1 4196.928
2022 05 04 22 00 00 1 4196.811
2022 05 04 21 45 00 1 4196.690
2022 05 04 21 30 00 1 4196.569
2022 05 04 21 15 00 1 4196.447
2022 05 04 21 00 00 1 4196.326
2022 05 04 20 45 00 1 4196.207
2022 05 04 20 30 00 1 4196.095
2022 05 04 20 15 00 1 4195.990
2022 05 04 20 00 00 1 4195.892
2022 05 04 19 45 00 1 4195.806
2022 05 04 19 30 00 1 4195.731
2022 05 04 19 15 00 1 4195.670
2022 05 04 19 00 00 1 4195.621
2022 05 04 18 45 00 1 4195.589
2022 05 04 18 30 00 1 4195.575
2022 05 04 18 15 00 1 4195.574
2022 05 04 18 00 00 1 4195.591
2022 05 04 17 45 00 1 4195.622
2022 05 04 17 30 00 1 4195.670
2022 05 04 17 15 00 1 4195.734
