#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 01 12 00 00 1 4487.190
2022 05 01 11 45 00 1 4487.273
2022 05 01 11 30 00 1 4487.345
2022 05 01 11 15 00 1 4487.402
2022 05 01 11 00 00 1 4487.445
2022 05 01 10 45 00 1 4487.475
2022 05 01 10 30 00 1 4487.488
2022 05 01 10 15 00 1 4487.486
2022 05 01 10 00 00 1 4487.469
2022 05 01 09 45 00 1 4487.440
2022 05 01 09 30 00 1 4487.397
2022 05 01 09 15 00 1 4487.342
2022 05 01 09 00 00 1 4487.278
2022 05 01 08 45 00 1 4487.201
2022 05 01 08 30 00 1 4487.122
2022 05 01 08 15 00 1 4487.031
2022 05 01 08 00 00 1 4486.934
2022 05 01 07 45 00 1 4486.839
2022 05 01 07 30 00 1 4486.739
2022 05 01 07 15 00 1 4486.642
2022 05 01 07 00 00 1 4486.544
2022 05 01 06 45 00 1 4486.452
2022 05 01 06 30 00 1 4486.361
2022 05 01 06 15 00 1 4486.275
2022 05 01 06 00 00 1 4486.200
2022 05 01 05 45 00 1 4486.132
2022 05 01 05 30 00 1 4486.073
2022 05 01 05 15 00 1 4486.027
2022 05 01 05 00 00 1 4485.992
2022 05 01 04 45 00 1 4485.971
2022 05 01 04 30 00 1 4485.961
2022 05 01 04 15 00 1 4485.963
2022 05 01 04 00 00 1 4485.976
2022 05 01 03 45 00 1 4485.999
2022 05 01 03 30 00 1 4486.034
2022 05 01 03 15 00 1 4486.077
2022 05 01 03 00 00 1 4486.130
2022 05 01 02 45 00 1 4486.191
2022 05 01 02 30 00 1 4486.258
2022 05 01 02 15 00 1 4486.330
2022 05 01 02 00 00 1 4486.406
2022 05 01 01 45 00 1 4486.482
2022 05 01 01 30 00 1 4486.561
2022 05 01 01 15 00 1 4486.639
2022 05 01 01 00 00 1 4486.711
2022 05 01 00 45 00 1 4486.784
2022 05 01 00 30 00 1 4486.847
2022 05 01 00 15 00 1 4486.902
2022 05 01 00 00 00 1 4486.951
2022 04 30 23 45 00 1 4486.988
2022 04 30 23 30 00 1 4487.016
2022 04 30 23 15 00 1 4487.032
2022 04 30 23 00 00 1 4487.039
2022 04 30 22 45 00 1 4487.031
2022 04 30 22 30 00 1 4487.012
2022 04 30 22 15 00 1 4486.979
2022 04 30 22 00 00 1 4486.930
2022 04 30 21 45 00 1 4486.877
2022 04 30 21 30 00 1 4486.809
2022 04 30 21 15 00 1 4486.731
2022 04 30 21 00 00 1 4486.644
2022 04 30 20 45 00 1 4486.549
2022 04 30 20 30 00 1 4486.446
2022 04 30 20 15 00 1 4486.338
2022 04 30 20 00 00 1 4486.225
2022 04 30 19 45 00 1 4486.112
2022 04 30 19 30 00 1 4485.999
2022 04 30 19 15 00 1 4485.887
2022 04 30 19 00 00 1 4485.780
2022 04 30 18 45 00 1 4485.681
2022 04 30 18 30 00 1 4485.588
2022 04 30 18 15 00 1 4485.503
2022 04 30 18 00 00 1 4485.428
2022 04 30 17 45 00 1 4485.361
2022 04 30 17 30 00 1 4485.306
2022 04 30 17 15 00 1 4485.265
2022 04 30 17 00 00 1 4485.239
2022 04 30 16 45 00 1 4485.228
2022 04 30 16 30 00 1 4485.230
2022 04 30 16 15 00 1 4485.244
2022 04 30 16 00 00 1 4485.275
2022 04 30 15 45 00 1 4485.321
2022 04 30 15 30 00 1 4485.383
2022 04 30 15 15 00 1 4485.458
2022 04 30 15 00 00 1 4485.545
2022 04 30 14 45 00 1 4485.642
2022 04 30 14 30 00 1 4485.749
2022 04 30 14 15 00 1 4485.860
2022 04 30 14 00 00 1 4485.982
2022 04 30 13 45 00 1 4486.110
2022 04 30 13 30 00 1 4486.242
2022 04 30 13 15 00 1 4486.375
2022 04 30 13 00 00 1 4486.504
2022 04 30 12 45 00 1 4486.631
2022 04 30 12 30 00 1 4486.751
2022 04 30 12 15 00 1 4486.869
2022 04 30 12 00 00 1 4486.979
2022 04 30 11 45 00 1 4487.081
2022 04 30 11 30 00 1 4487.172
2022 04 30 11 15 00 1 4487.252
2022 04 30 11 00 00 1 4487.317
2022 04 30 10 45 00 1 4487.372
2022 04 30 10 30 00 1 4487.413
2022 04 30 10 15 00 1 4487.436
2022 04 30 10 00 00 1 4487.447
2022 04 30 09 45 00 1 4487.440
2022 04 30 09 30 00 1 4487.419
2022 04 30 09 15 00 1 4487.384
2022 04 30 09 00 00 1 4487.337
2022 04 30 08 45 00 1 4487.278
2022 04 30 08 30 00 1 4487.207
2022 04 30 08 15 00 1 4487.128
2022 04 30 08 00 00 1 4487.043
2022 04 30 07 45 00 1 4486.947
2022 04 30 07 30 00 1 4486.847
2022 04 30 07 15 00 1 4486.745
2022 04 30 07 00 00 1 4486.641
2022 04 30 06 45 00 1 4486.537
2022 04 30 06 30 00 1 4486.435
2022 04 30 06 15 00 1 4486.338
2022 04 30 06 00 00 1 4486.244
2022 04 30 05 45 00 1 4486.158
2022 04 30 05 30 00 1 4486.080
2022 04 30 05 15 00 1 4486.008
2022 04 30 05 00 00 1 4485.950
2022 04 30 04 45 00 1 4485.901
2022 04 30 04 30 00 1 4485.864
2022 04 30 04 15 00 1 4485.841
2022 04 30 04 00 00 1 4485.830
2022 04 30 03 45 00 1 4485.830
2022 04 30 03 30 00 1 4485.844
2022 04 30 03 15 00 1 4485.868
2022 04 30 03 00 00 1 4485.905
2022 04 30 02 45 00 1 4485.948
2022 04 30 02 30 00 1 4486.004
2022 04 30 02 15 00 1 4486.068
2022 04 30 02 00 00 1 4486.139
2022 04 30 01 45 00 1 4486.218
2022 04 30 01 30 00 1 4486.300
2022 04 30 01 15 00 1 4486.386
2022 04 30 01 00 00 1 4486.470
2022 04 30 00 45 00 1 4486.558
2022 04 30 00 30 00 1 4486.639
2022 04 30 00 15 00 1 4486.717
2022 04 30 00 00 00 1 4486.790
2022 04 29 23 45 00 1 4486.856
2022 04 29 23 30 00 1 4486.913
2022 04 29 23 15 00 1 4486.961
2022 04 29 23 00 00 1 4487.002
2022 04 29 22 45 00 1 4487.027
2022 04 29 22 30 00 1 4487.047
2022 04 29 22 15 00 1 4487.052
2022 04 29 22 00 00 1 4487.043
2022 04 29 21 45 00 1 4487.021
2022 04 29 21 30 00 1 4486.987
2022 04 29 21 15 00 1 4486.940
2022 04 29 21 00 00 1 4486.883
